repeat,scene,video,frame,preprocess_ms,model_ms,total_ms,gpu_ms
0,R01,01,0,0.9319998789578676,5.396069027483463,6.328068906441331,5.356959819793701
0,R01,01,166,0.54343999363482,4.907762166112661,5.451202159747481,4.884640216827393
0,R01,02,130,0.5412758328020573,4.838653141632676,5.379928974434733,4.816832065582275
0,R01,04,89,0.5162989255040884,4.774342058226466,5.290640983730555,4.752255916595459
0,R02,01,124,0.521098030731082,4.815809894353151,5.336907925084233,4.793504238128662
0,R02,01,641,0.5183829925954342,4.816811997443438,5.335194990038872,4.794943809509277
0,R02,02,489,0.5059100221842527,4.788086982443929,5.2939970046281815,4.766272068023682
0,R02,04,345,0.513473991304636,4.811050835996866,5.324524827301502,4.788383960723877
0,R03,01,258,0.5914908833801746,4.784249933436513,5.375740816816688,4.761760234832764
0,R03,02,111,0.5768230184912682,4.818183835595846,5.395006854087114,4.796544075012207
0,R03,02,691,0.5789569113403559,4.8905599396675825,5.469516851007938,4.873824119567871
0,R03,04,531,0.5816221237182617,4.802695941179991,5.3843180648982525,4.780320167541504
0,R04,01,178,0.5268189124763012,4.748153034597635,5.2749719470739365,4.726560115814209
0,R04,02,144,0.5270501133054495,4.765223944559693,5.292274057865143,4.7481279373168945
0,R04,03,74,0.5245751235634089,4.7966239508241415,5.32119907438755,4.775424003601074
0,R04,03,460,0.5362369120121002,4.809859208762646,5.346096120774746,4.788127899169922
1,R01,01,0,0.5069819744676352,4.760516108945012,5.267498083412647,4.739264011383057
1,R01,01,166,0.7814569398760796,4.737843060865998,5.519300000742078,4.715487957000732
1,R01,02,130,0.5177019629627466,4.777097143232822,5.294799106195569,4.755807876586914
1,R01,04,89,0.5099771078675985,4.7331450041383505,5.243122112005949,4.711167812347412
1,R02,01,124,0.5214689299464226,4.788699094206095,5.310168024152517,4.767263889312744
1,R02,01,641,0.5081738345324993,4.747061058878899,5.255234893411398,4.725567817687988
1,R02,02,489,0.5016119685024023,4.805510165169835,5.307122133672237,4.78380823135376
1,R02,04,345,0.5107689648866653,4.797265166416764,5.30803413130343,4.775424003601074
1,R03,01,258,0.5938839167356491,4.727544961497188,5.321428878232837,4.706079959869385
1,R03,02,111,0.574568985030055,4.6949228271842,5.269491812214255,4.6736321449279785
1,R03,02,691,0.573126133531332,4.776916932314634,5.350043065845966,4.7564802169799805
1,R03,04,531,0.5772029981017113,4.746770020574331,5.323973018676043,4.7251200675964355
1,R04,01,178,0.515718013048172,4.792546154931188,5.30826416797936,4.771103858947754
1,R04,02,144,0.5242438055574894,4.736251197755337,5.260495003312826,4.715199947357178
1,R04,03,74,0.5258070304989815,4.761859076097608,5.287666106596589,4.740416049957275
1,R04,03,460,0.5229820962995291,4.735158057883382,5.258140154182911,4.713503837585449
2,R01,01,0,0.5131529178470373,4.788829013705254,5.301981931552291,4.766848087310791
2,R01,01,166,0.5155371036380529,4.770525032654405,5.286062136292458,4.748799800872803
2,R01,02,130,0.5090248305350542,4.760767100378871,5.269791930913925,4.739327907562256
2,R01,04,89,0.5191138479858637,4.7884490340948105,5.307562882080674,4.76691198348999
2,R02,01,124,0.51894411444664,4.727353807538748,5.246297921985388,4.706111907958984
2,R02,01,641,0.5000689998269081,4.740478005260229,5.240547005087137,4.7190399169921875
2,R02,02,489,0.5021030083298683,4.863830050453544,5.365933058783412,4.847296237945557
2,R02,04,345,0.512662110850215,4.771166015416384,5.283828126266599,4.749887943267822
2,R03,01,258,0.5781350191682577,4.743895027786493,5.322030046954751,4.722591876983643
2,R03,02,111,0.5958590190857649,4.7112139873206615,5.307073006406426,4.689727783203125
2,R03,02,691,0.8024158887565136,4.7851731069386005,5.587588995695114,4.761504173278809
2,R03,04,531,0.5828640423715115,4.746109014376998,5.328973056748509,4.724512100219727
2,R04,01,178,0.5226209759712219,5.215640179812908,5.73826115578413,5.19920015335083
2,R04,02,144,0.58587989769876,4.759263014420867,5.345142912119627,4.73740816116333
2,R04,03,74,0.5191948730498552,4.832802107557654,5.35199698060751,4.8124799728393555
2,R04,03,460,0.5256969016045332,4.732313100248575,5.258010001853108,4.710464000701904
