scene,seed,method,precision,auroc,auprc,appearance_auroc,active_fpr_pct,recall_pct,false_alarms_per1000,frames
R01,0,frozen,fp32_batch32,89.36358930298978,81.52774170461477,87.8807830354779,59.30824008138352,100.0,7.121057985757884,2905
R01,0,consistency,fp32_batch32,84.92535653584254,70.6985536051122,84.92535653584254,64.80162767039674,100.0,9.664292980671414,2905
R01,0,anchored,fp32_batch32,88.8876750940117,80.04489862390881,87.8748780874267,59.30824008138352,100.0,7.121057985757884,2905
R02,0,frozen,fp32_batch32,93.7577052672688,88.08088782598942,87.16069995473532,0.12575979878432195,18.181818181818183,0.6287989939216098,7082
R02,0,consistency,fp32_batch32,77.13209393783539,58.46871944801653,80.33529503645221,1.5719974848040243,18.181818181818183,3.3535946342485854,7082
R02,0,anchored,fp32_batch32,93.80996946057589,88.1402147229554,87.03662286759068,0.12575979878432195,27.27272727272727,0.6287989939216098,7082
R03,0,frozen,fp32_batch32,63.27262943072065,50.840992016305606,63.66374882849482,4.473927800061709,38.46153846153847,3.239740820734341,11121
R03,0,consistency,fp32_batch32,55.76144881046683,42.967327561583915,59.70904887882651,2.375809935205184,15.384615384615385,3.239740820734341,11121
R03,0,anchored,fp32_batch32,62.705831322938934,50.37484618821586,63.36569088963181,4.4430731255785245,38.46153846153847,3.856834310398025,11121
R04,0,frozen,fp32_batch32,78.80352317701443,83.81525784542205,76.21215385278242,3.503950532463071,76.92307692307693,3.7787701820680177,7166
R04,0,consistency,fp32_batch32,75.181803073855,82.20053364779818,75.181803073855,1.4428031604259703,26.923076923076923,0.6870491240123668,7166
R04,0,anchored,fp32_batch32,78.69764731709618,83.67743826421219,76.21477592372605,3.2978357952593607,76.92307692307693,3.7787701820680177,7166
