repeat,video,frame,processing_ms
0,01,0,6.447574123740196
0,01,6,6.037913030013442
0,01,13,6.4045528415590525
0,01,19,5.891576875001192
0,01,26,5.840931087732315
0,01,33,6.393502000719309
0,01,39,5.829920060932636
0,01,46,5.964454030618072
0,01,53,6.817301036790013
0,01,59,6.0567178297787905
0,01,66,6.533576175570488
0,01,73,5.963301984593272
0,01,79,5.879062926396728
0,01,86,6.240885006263852
0,01,93,5.85993705317378
0,01,99,5.8842129074037075
0,01,106,6.036780076101422
0,01,112,5.788672948256135
0,01,119,5.334977991878986
0,01,126,5.434805992990732
0,01,132,5.297298077493906
0,01,139,5.351049127057195
0,01,146,5.5057399440556765
0,01,152,5.3296079859137535
0,01,159,5.304691148921847
0,01,166,5.443572998046875
0,01,172,5.326641956344247
0,01,179,5.33248414285481
0,01,186,5.594947841018438
0,01,192,5.366237135604024
0,01,199,5.32777514308691
0,01,206,5.7646778877824545
0,02,0,5.812799092382193
0,02,6,5.860168021172285
0,02,13,5.980113986879587
0,02,20,6.010890938341618
0,02,27,5.896285874769092
0,02,34,5.979272071272135
0,02,41,5.945207085460424
0,02,48,5.81335905008018
0,02,54,6.09167292714119
0,02,61,5.8618709444999695
0,02,68,5.97233884036541
0,02,75,5.701578920707107
0,02,82,5.31537109054625
0,02,89,5.50437718629837
0,02,96,5.400482099503279
0,02,103,5.416551837697625
0,02,109,5.425778916105628
0,02,116,5.3911039140075445
0,02,123,5.3338659927248955
0,02,130,5.52942487411201
0,02,137,5.3976369090378284
0,02,144,5.465583875775337
0,02,151,5.512111820280552
0,02,158,5.351278930902481
0,02,164,5.328405881300569
0,02,171,5.805534077808261
0,02,178,5.373630905523896
0,02,185,5.355006083846092
0,02,192,5.612320965155959
0,02,199,5.346630001440644
0,02,206,5.457188002765179
0,02,213,5.709283985197544
0,04,0,5.373211111873388
0,04,7,5.34259295091033
0,04,14,5.8294301852583885
0,04,22,5.424096016213298
0,04,29,5.3794728592038155
0,04,37,5.593205103650689
0,04,44,5.521189188584685
0,04,52,5.439775995910168
0,04,59,5.935689900070429
0,04,67,5.560564110055566
0,04,74,5.438623018562794
0,04,81,5.655242130160332
0,04,89,5.3706050384789705
0,04,96,5.397987086325884
0,04,104,5.637277849018574
0,04,111,5.47731714323163
0,04,119,5.316674010828137
