repeat,index,ms
0,0,25.292596081271768
0,1,25.319597916677594
0,2,25.302706053480506
0,3,25.414706906303763
0,4,25.388377020135522
0,5,25.334726087749004
0,6,25.37074382416904
0,7,25.4222908988595
0,8,25.279762921854854
0,9,25.364001048728824
0,10,25.367508176714182
0,11,25.385821936652064
0,12,25.315951090306044
0,13,25.489767780527472
0,14,25.35645687021315
0,15,25.378778809681535
1,0,25.392884854227304
1,1,25.428291875869036
1,2,25.378989055752754
1,3,25.46956017613411
1,4,25.428804103285074
1,5,25.36123595200479
1,6,25.39349696598947
1,7,25.453370064496994
1,8,25.362126994878054
1,9,25.360003113746643
1,10,25.435786927118897
1,11,25.350626092404127
1,12,25.34895297139883
1,13,25.29111411422491
1,14,25.37590404972434
1,15,25.365595007315278
2,0,25.509234983474016
2,1,25.35514486953616
2,2,25.41055902838707
2,3,25.38437000475824
2,4,25.393846910446882
2,5,25.4177029710263
2,6,25.687580928206444
2,7,25.5221389234066
2,8,25.3340438939631
2,9,25.359672959893942
2,10,25.391823844984174
2,11,25.400769896805286
2,12,25.391252944245934
2,13,25.433070957660675
2,14,25.349164148792624
2,15,25.337531929835677
