repeat,index,ms
0,0,51.346720894798636
0,1,51.216703839600086
0,2,51.56948999501765
0,3,51.14586092531681
0,4,51.489679142832756
0,5,51.13162402994931
0,6,51.49974790401757
0,7,51.550755044445395
0,8,51.207327051088214
0,9,51.15307494997978
0,10,53.68355708196759
0,11,53.34035004489124
0,12,54.27920981310308
0,13,54.18086517602205
0,14,53.976248018443584
0,15,53.45976399257779
1,0,52.75034694932401
1,1,52.9983239248395
1,2,52.6743340305984
1,3,52.33820900321007
1,4,52.64609004370868
1,5,51.7812198959291
1,6,51.370264030992985
1,7,51.526349037885666
1,8,53.6960510071367
1,9,52.6399789378047
1,10,52.673491882160306
1,11,52.17069387435913
1,12,53.35007794201374
1,13,51.83823709376156
1,14,51.228157011792064
1,15,51.36772012338042
2,0,51.683404948562384
2,1,51.55862891115248
2,2,51.484910072758794
2,3,51.40035995282233
2,4,51.72641598619521
2,5,52.09274706430733
2,6,51.69293307699263
2,7,51.58724309876561
2,8,51.539683947339654
2,9,51.21126398444176
2,10,51.49961798451841
2,11,51.48054216988385
2,12,51.53172882273793
2,13,51.326812943443656
2,14,52.18446999788284
2,15,51.528142066672444
