mode,repeat,frame,processing_ms,read_decode_ms,queue_ms,end_to_end_ms,elapsed_s,score,alarm_active,valid_score
capacity,0,0,4.026158945634961,0.3218760248273611,0.00018998980522155762,4.026348935440183,0.004040284780785441,,,False
capacity,0,1,4.389312118291855,0.3299310337752104,0.00016996636986732483,4.389482084661722,0.00845265993848443,,,False
capacity,0,2,4.050664138048887,0.3078891895711422,0.00015087425708770752,4.050815012305975,0.01252630795352161,,,False
capacity,0,3,3.989449003711343,0.31307898461818695,0.00013015232980251312,3.9895791560411453,0.01653777901083231,,,False
capacity,0,4,3.9895200170576572,0.3077599685639143,0.00011990778148174286,3.989639924839139,0.02054910990409553,,,False
capacity,0,5,4.376868950203061,0.3098631277680397,0.00011990778148174286,4.376988857984543,0.024947859812527895,,,False
capacity,0,6,4.055073019117117,0.3113870043307543,0.00012991949915885925,4.055202938616276,0.029024843825027347,,,False
capacity,0,7,3.991022938862443,0.31484290957450867,0.00013993121683597565,3.991162870079279,0.03303766786120832,,,False
capacity,0,8,4.0030451491475105,0.32708607614040375,0.00012991949915885925,4.003175068646669,0.03706260398030281,,,False
capacity,0,9,4.452642053365707,0.31747808679938316,0.00011990778148174286,4.452761961147189,0.04153719684109092,,,False
capacity,0,10,4.067887086421251,0.30940212309360504,0.00010989606380462646,4.067996982485056,0.04562745592556894,,,False
capacity,0,11,3.9800519589334726,0.3132489509880543,0.00012107193470001221,3.9801730308681726,0.04962963983416557,,,False
capacity,0,12,3.9690311532467604,0.3103939816355705,0.00011990778148174286,3.969151061028242,0.053620561957359314,,,False
capacity,0,13,4.475825000554323,0.3137111198157072,0.00012991949915885925,4.475954920053482,0.05811823788098991,,,False
capacity,0,14,4.057868150994182,0.3104540519416332,0.00013085082173347473,4.057999001815915,0.06220184499397874,,,False
capacity,0,15,4.146083956584334,0.31270901672542095,0.00012991949915885925,4.146213876083493,0.06636977987363935,,,False
capacity,0,16,4.189657047390938,0.310294097289443,0.00012991949915885925,4.189786966890097,0.0705817888956517,,,False
capacity,0,17,4.784947028383613,0.31494302675127983,0.00013993121683597565,4.785086959600449,0.07538958895020187,,,False
capacity,0,18,4.2049449402838945,0.31062494963407516,0.00013015232980251312,4.205075092613697,0.07961694593541324,,,False
capacity,0,19,4.206957994028926,0.3154429141432047,0.0001511070877313614,4.207109101116657,0.0838463669642806,,,False
capacity,0,20,4.204364027827978,0.31606503762304783,0.00012014061212539673,4.2044841684401035,0.08807291300036013,,,False
capacity,0,21,4.363353131338954,0.31923106871545315,0.00012083910405635834,4.36347397044301,0.09245827794075012,,,False
capacity,0,22,4.193824017420411,0.30960189178586006,0.000141095370054245,4.193965112790465,0.09667425393126905,,,False
capacity,0,23,4.212488885968924,0.31378096900880337,0.0001501757651567459,4.21263906173408,0.10090894484892488,,,False
capacity,0,24,4.195908084511757,0.31538400799036026,0.00013993121683597565,4.196048015728593,0.10512709501199424,,,False
capacity,0,25,4.486684920266271,0.315503915771842,0.00013993121683597565,4.486824851483107,0.10964169283397496,,,False
capacity,0,26,4.200227092951536,0.31072506681084633,0.00012991949915885925,4.200357012450695,0.11386385094374418,,,False
capacity,0,27,4.202030133455992,0.3198122140020132,0.00013993121683597565,4.202170064672828,0.11808787193149328,,,False
capacity,0,28,4.491693805903196,0.3146918024867773,0.00012107193470001221,4.491814877837896,0.12260158779099584,,,False
capacity,0,29,4.251853097230196,0.3111851401627064,0.00015087425708770752,4.252003971487284,0.12687587388791144,,,False
capacity,0,30,4.202721174806356,0.31379004940390587,0.00012991949915885925,4.202851094305515,0.13110025599598885,,,False
capacity,0,31,4.200425930321217,0.31837914139032364,0.0001310836523771286,4.200557013973594,0.13532294379547238,,,False
capacity,0,32,4.494921071454883,0.30836998485028744,0.00015087425708770752,4.49507194571197,0.13983991695567966,,,False
capacity,0,33,4.253607010468841,0.31960103660821915,0.0001310836523771286,4.253738094121218,0.14411584590561688,,,False
capacity,0,34,4.194124136120081,0.3077690489590168,0.00013085082173347473,4.194254986941814,0.1483369809575379,,,False
capacity,0,35,4.232275998219848,0.3127891104668379,0.00013993121683597565,4.232415929436684,0.15259130881167948,1.40680711660767,False,True
capacity,0,36,4.955717828124762,0.31462195329368114,0.0001310836523771286,4.955848911777139,0.1575694098137319,1.420101182745012,False,True
capacity,0,37,4.246663069352508,0.31414092518389225,0.0001310836523771286,4.246794153004885,0.16183876595459878,1.4093686579101796,True,True
capacity,0,38,4.234971944242716,0.3149230033159256,0.00012014061212539673,4.235092084854841,0.16609588987194002,1.4041295913055594,True,True
capacity,0,39,4.242365015670657,0.3186101093888283,0.00012991949915885925,4.242494935169816,0.17036638781428337,1.4078801758403812,True,True
capacity,0,40,4.923918982967734,0.3149330150336027,0.00011990778148174286,4.924038890749216,0.17531835986301303,1.412239361100651,True,True
capacity,0,41,4.22861916013062,0.3123781643807888,0.00014086253941059113,4.228760022670031,0.17956933099776506,1.370444736139975,True,True
capacity,0,42,4.2449908796697855,0.3093029372394085,0.00012014061212539673,4.245111020281911,0.1838366538286209,1.3327804441384699,True,True
capacity,0,43,4.615868907421827,0.3186699468642473,0.00012991949915885925,4.615998826920986,0.1884749848395586,1.3557127114951468,True,True
capacity,0,44,4.2927509639412165,0.31142705120146275,0.00013993121683597565,4.2928908951580524,0.19279013783670962,1.3171415878176542,True,True
capacity,0,45,4.241303075104952,0.3126880619674921,0.00010104849934577942,4.241404123604298,0.1970536729786545,1.3354235867615094,True,True
capacity,0,46,4.229492042213678,0.31217816285789013,0.00013993121683597565,4.229631973430514,0.2013055868446827,1.3524268021057857,True,True
capacity,0,47,4.533453145995736,0.3118771128356457,0.00014086253941059113,4.533594008535147,0.20586143201217055,1.3763312578995814,True,True
capacity,0,48,4.290665965527296,0.31056487932801247,0.00013015232980251312,4.290796117857099,0.21017426997423172,1.379390628275944,True,True
capacity,0,49,4.255911102518439,0.3103739582002163,0.00013993121683597565,4.256051033735275,0.2144522829912603,1.3369821507542947,True,True
capacity,0,50,4.255499923601747,0.31104497611522675,0.0001310836523771286,4.255631007254124,0.2187306669075042,1.3811716895945492,True,True
capacity,0,51,4.549544071778655,0.312538119032979,0.00013993121683597565,4.549684002995491,0.22330320393666625,1.3591380934051218,True,True
capacity,0,52,4.272241843864322,0.30599581077694893,0.00014016404747962952,4.272382007911801,0.2275978778488934,1.4041076241434491,True,True
capacity,0,53,4.252034006640315,0.3102740738540888,0.00013993121683597565,4.252173937857151,0.2318722738418728,1.398231396820626,True,True
capacity,0,54,4.240612965077162,0.312137883156538,0.00012014061212539673,4.240733105689287,0.23613513796590269,1.3912429809254232,True,True
capacity,0,55,4.733830923214555,0.309893861413002,0.00011012889444828033,4.733941052109003,0.24089133087545633,1.4125316476219032,True,True
capacity,0,56,4.248416982591152,0.31130597926676273,0.0001310836523771286,4.248548066243529,0.2451619398780167,1.375387996546246,True,True
capacity,0,57,4.220555070787668,0.3116871230304241,0.00012991949915885925,4.220684990286827,0.24940507696010172,1.3502921342269745,True,True
capacity,0,58,4.218179965391755,0.30617695301771164,0.00013993121683597565,4.218319896608591,0.2536455278750509,1.3862690052251134,True,True
capacity,0,59,4.8454508651047945,0.3129888791590929,0.00013015232980251312,4.845581017434597,0.2585137018468231,1.3595308472004555,True,True
