repeat,scene,video,frame,input_ms,model_wall_ms,gpu_interval_ms,total_ms
0,R01,01,0,0.7372221443802118,3.735804930329323,3.700671911239624,4.473027074709535
0,R01,01,6,0.43835793621838093,3.1901041511446238,3.1681599617004395,3.6284620873630047
0,R01,01,13,0.4200639668852091,3.1813469249755144,3.1604158878326416,3.6014108918607235
0,R01,01,19,0.42180600576102734,3.2894019968807697,2.9962239265441895,3.711208002641797
0,R01,01,26,0.4223568830639124,3.1892829574644566,3.1677119731903076,3.611639840528369
0,R01,01,33,0.41774893179535866,3.168674185872078,3.1470398902893066,3.5864231176674366
0,R01,01,39,0.4141819663345814,3.180325962603092,3.1592319011688232,3.5945079289376736
0,R01,01,46,0.4167368169873953,3.6685981322079897,3.6472959518432617,4.085334949195385
0,R01,01,53,0.42074406519532204,3.2281859312206507,3.1611199378967285,3.6489299964159727
0,R01,01,59,0.42398995719850063,3.1717901583760977,3.1505279541015625,3.5957801155745983
0,R01,01,66,0.4123279359191656,3.171009011566639,3.149888038635254,3.5833369474858046
0,R01,01,73,0.4187708254903555,3.1799450516700745,3.1585280895233154,3.59871587716043
0,R01,01,79,0.4131200257688761,3.199682105332613,3.107775926589966,3.612802131101489
0,R01,01,86,0.4141021054238081,3.1768290791660547,3.1556479930877686,3.590931184589863
0,R01,01,93,0.42152591049671173,3.1841930467635393,3.159424066543579,3.605718957260251
0,R01,01,99,0.41617616079747677,3.1744949519634247,3.153343915939331,3.5906711127609015
0,R01,01,106,0.4127800930291414,3.680780064314604,3.6570239067077637,4.093560157343745
0,R01,01,112,0.4340400919318199,3.2263619359582663,3.1590399742126465,3.660402027890086
0,R01,01,119,0.42480207048356533,3.1730819027870893,3.151711940765381,3.5978839732706547
0,R01,01,126,0.419392017647624,3.175145946443081,3.153696060180664,3.594537964090705
0,R01,01,132,0.4155850037932396,3.6798289511352777,3.658720016479492,4.095413954928517
0,R01,01,139,0.41401199996471405,3.204751992598176,3.13753604888916,3.61876399256289
0,R01,01,146,0.41775801219046116,3.171740099787712,3.150592088699341,3.5894981119781733
0,R01,01,152,0.4212958738207817,3.1743140425533056,3.1524159908294678,3.5956099163740873
0,R01,01,159,0.41764904744923115,3.172029973939061,3.150592088699341,3.5896790213882923
0,R01,01,166,0.4203838761895895,3.676783060654998,3.655616044998169,4.097166936844587
0,R01,01,172,0.4233198706060648,3.2109529711306095,3.1447360515594482,3.6342728417366743
0,R01,01,179,0.42191590182483196,3.166869981214404,3.146496057510376,3.588785883039236
0,R01,01,186,0.4124389961361885,3.1743741128593683,3.153503894805908,3.586813108995557
0,R01,01,192,0.42314990423619747,3.667245153337717,3.6443519592285156,4.0903950575739145
0,R01,01,199,0.41255890391767025,3.206926165148616,3.140608072280884,3.619485069066286
0,R01,01,206,0.4200930707156658,3.198128892108798,3.176703929901123,3.618221962824464
0,R01,02,0,0.41092606261372566,3.1722309067845345,3.1510400772094727,3.58315696939826
0,R01,02,6,0.4180991090834141,3.184302942827344,3.1631360054016113,3.602402051910758
0,R01,02,13,0.4211550112813711,3.68967792019248,3.6682240962982178,4.110832931473851
0,R01,02,20,0.426876125857234,3.2044409308582544,3.1385600566864014,3.6313170567154884
0,R01,02,27,0.42031402699649334,3.1851050443947315,3.16377592086792,3.605419071391225
0,R01,02,34,0.4211550112813711,3.181238193064928,3.1599678993225098,3.602393204346299
0,R01,02,41,0.4293608944863081,3.669479163363576,3.6484479904174805,4.098840057849884
0,R01,02,48,0.42180693708360195,3.2006539404392242,3.1334400177001953,3.622460877522826
0,R01,02,54,0.41493307799100876,3.176207887008786,3.155071973800659,3.591140964999795
0,R01,02,61,0.41486299596726894,3.1750258058309555,3.1539199352264404,3.5898888017982244
0,R01,02,68,0.42011309415102005,3.174023935571313,3.152479887008667,3.594137029722333
0,R01,02,75,0.41834008879959583,3.27446311712265,2.992095947265625,3.692803205922246
0,R01,02,82,0.4187310114502907,3.180867061018944,3.1596479415893555,3.5995980724692345
0,R01,02,89,0.42457086965441704,3.171609016135335,3.1504321098327637,3.596179885789752
0,R01,02,96,0.41497289203107357,3.1815180554986,3.160640001296997,3.5964909475296736
0,R01,02,103,0.4156350623816252,3.690779907628894,3.6695680618286133,4.106414970010519
0,R01,02,109,0.41689793579280376,3.210723167285323,3.1447041034698486,3.627621103078127
0,R01,02,116,0.4215668886899948,3.167932154610753,3.1467840671539307,3.589499043300748
0,R01,02,123,0.4163961857557297,3.197027835994959,3.1750400066375732,3.6134240217506886
0,R01,02,130,0.42437203228473663,3.2007740810513496,3.1795198917388916,3.6251461133360863
0,R01,02,137,0.4248819313943386,3.62917291931808,3.6066880226135254,4.054054850712419
0,R01,02,144,0.4203540738672018,3.208969021216035,3.1873600482940674,3.6293230950832367
0,R01,02,151,0.4149738233536482,3.1794230453670025,3.1580159664154053,3.5943968687206507
0,R01,02,158,0.4154648631811142,3.23319504968822,3.2113280296325684,3.648659912869334
0,R01,02,164,0.42818905785679817,3.6761020310223103,3.654848098754883,4.104291088879108
0,R01,02,171,0.4246518947184086,3.2172249630093575,3.150847911834717,3.641876857727766
0,R01,02,178,0.4208851605653763,3.1764579471200705,3.15500807762146,3.5973431076854467
0,R01,02,185,0.4163859412074089,3.181427950039506,3.1602559089660645,3.597813891246915
0,R01,02,192,0.4181498661637306,3.1725610606372356,3.1515839099884033,3.5907109268009663
0,R01,02,199,0.41759898886084557,3.1927188392728567,3.1150081157684326,3.6103178281337023
0,R01,02,206,0.41379104368388653,3.1845939811319113,3.163583993911743,3.598385024815798
0,R01,02,213,0.4179789684712887,3.174023935571313,3.152479887008667,3.5920029040426016
0,R01,04,0,0.41295005939900875,3.1794230453670025,3.1585280895233154,3.5923731047660112
0,R01,04,7,0.4156350623816252,3.680760972201824,3.6594560146331787,4.096396034583449
0,R01,04,14,0.4179091192781925,3.2121259719133377,3.14572811126709,3.6300350911915302
0,R01,04,22,0.42171706445515156,3.1730111222714186,3.1519041061401367,3.59472818672657
0,R01,04,29,0.4167468287050724,3.1812069937586784,3.1603519916534424,3.597953822463751
0,R01,04,37,0.41605602018535137,3.1797040719538927,3.1587839126586914,3.595760092139244
0,R01,04,44,0.42422092519700527,3.277198178693652,3.140608072280884,3.7014191038906574
0,R01,04,52,0.41726790368556976,3.1799350399523973,3.1586880683898926,3.597202943637967
0,R01,04,59,0.41956198401749134,3.1924289651215076,3.171328067779541,3.611990949138999
0,R01,04,67,0.42392988689243793,3.1823799945414066,3.1612160205841064,3.6063098814338446
0,R01,04,74,0.4220069386065006,3.6782659590244293,3.6566720008850098,4.10027289763093
0,R01,04,81,0.42810779996216297,3.198911203071475,3.1324479579925537,3.627019003033638
