scene,video,frame,bf16_cls_cosine,bf16_cls_max_abs,same_eager_cls_cosine,same_eager_cls_max_abs,bf16_patch12_cosine,bf16_patch12_max_abs,same_eager_patch12_cosine,same_eager_patch12_max_abs
R01,01,0,8.249282836914062e-05,0.00173921138048172,8.249282836914062e-05,0.00173921138048172,0.0002628601505421102,0.07659969478845596,0.0002628601505421102,0.07659969478845596
R01,01,6,8.89897346496582e-05,0.0015468522906303406,8.89897346496582e-05,0.0015468522906303406,0.0001988256408367306,0.012697972357273102,0.0001988256408367306,0.012697972357273102
R01,01,13,8.213520050048828e-05,0.001935938373208046,8.213520050048828e-05,0.001935938373208046,0.00018951903621200472,0.015521705150604248,0.00018951903621200472,0.015521705150604248
R01,01,19,0.0001131892204284668,0.0020464956760406494,0.0001131892204284668,0.0020464956760406494,0.00020907414727844298,0.017627090215682983,0.00020907414727844298,0.017627090215682983
R01,01,26,8.64267349243164e-05,0.0016300026327371597,8.64267349243164e-05,0.0016300026327371597,0.00023956173390615731,0.052957430481910706,0.00023956173390615731,0.052957430481910706
R01,01,33,9.256601333618164e-05,0.0017264634370803833,9.256601333618164e-05,0.0017264634370803833,0.00019696906383614987,0.018477782607078552,0.00019696906383614987,0.018477782607078552
R01,01,39,8.368492126464844e-05,0.0017139241099357605,8.368492126464844e-05,0.0017139241099357605,0.00030393493943847716,0.10868006944656372,0.00030393493943847716,0.10868006944656372
R01,01,46,8.094310760498047e-05,0.0015422552824020386,8.094310760498047e-05,0.0015422552824020386,0.00029614605591632426,0.07466000318527222,0.00029614605591632426,0.07466000318527222
R01,01,53,8.064508438110352e-05,0.0017393678426742554,8.064508438110352e-05,0.0017393678426742554,0.000214578743907623,0.01901821792125702,0.000214578743907623,0.01901821792125702
R01,01,59,7.033348083496094e-05,0.0013902969658374786,7.033348083496094e-05,0.0013902969658374786,0.00018843714497052133,0.014858394861221313,0.00018843714497052133,0.014858394861221313
R01,01,66,9.065866470336914e-05,0.0017267614603042603,9.065866470336914e-05,0.0017267614603042603,0.0002325348323211074,0.030001521110534668,0.0002325348323211074,0.030001521110534668
R01,01,73,9.125471115112305e-05,0.0014076344668865204,9.125471115112305e-05,0.0014076344668865204,0.00022885901853442192,0.015062224119901657,0.00022885901853442192,0.015062224119901657
R01,01,79,7.516145706176758e-05,0.002041332423686981,7.516145706176758e-05,0.002041332423686981,0.0001938609784701839,0.019148390740156174,0.0001938609784701839,0.019148390740156174
R01,01,86,0.0001373291015625,0.0030622929334640503,0.0001373291015625,0.0030622929334640503,0.0004624731664080173,0.07896749675273895,0.0004624731664080173,0.07896749675273895
R01,01,93,9.47117805480957e-05,0.002408202737569809,9.47117805480957e-05,0.002408202737569809,0.00037149846320971847,0.1043151468038559,0.00037149846320971847,0.1043151468038559
R01,01,99,7.700920104980469e-05,0.0018960721790790558,7.700920104980469e-05,0.0018960721790790558,0.00017926795408129692,0.029758155345916748,0.00017926795408129692,0.029758155345916748
R01,01,106,8.404254913330078e-05,0.0013859197497367859,8.404254913330078e-05,0.0013859197497367859,0.0001992537290789187,0.03251800686120987,0.0001992537290789187,0.03251800686120987
R01,01,112,0.00010961294174194336,0.0024050697684288025,0.00010961294174194336,0.0024050697684288025,0.0004486579564400017,0.11643829941749573,0.0004486579564400017,0.11643829941749573
R01,01,119,0.0001429915428161621,0.002081647515296936,0.0001429915428161621,0.002081647515296936,0.0006233179592527449,0.09585170447826385,0.0006233179592527449,0.09585170447826385
R01,01,126,8.553266525268555e-05,0.0015601478517055511,8.553266525268555e-05,0.0015601478517055511,0.0002434231573715806,0.03328968584537506,0.0002434231573715806,0.03328968584537506
R01,01,132,0.00010776519775390625,0.0017860829830169678,0.00010776519775390625,0.0017860829830169678,0.0002768260601442307,0.06718715280294418,0.0002768260601442307,0.06718715280294418
R01,01,139,0.000102996826171875,0.0024080947041511536,0.000102996826171875,0.0024080947041511536,0.00027083558961749077,0.07460428774356842,0.00027083558961749077,0.07460428774356842
R01,01,146,9.608268737792969e-05,0.0018877685070037842,9.608268737792969e-05,0.0018877685070037842,0.0002277594612678513,0.03953006863594055,0.0002277594612678513,0.03953006863594055
R01,01,152,8.547306060791016e-05,0.0017589069902896881,8.547306060791016e-05,0.0017589069902896881,0.0004935566103085876,0.08728651702404022,0.0004935566103085876,0.08728651702404022
R01,01,159,8.046627044677734e-05,0.0014583002775907516,8.046627044677734e-05,0.0014583002775907516,0.0014377160696312785,0.22048377990722656,0.0014377160696312785,0.22048377990722656
R01,01,166,7.164478302001953e-05,0.0013982877135276794,7.164478302001953e-05,0.0013982877135276794,0.00017413754540029913,0.025249622762203217,0.00017413754540029913,0.025249622762203217
R01,01,172,7.510185241699219e-05,0.0014280155301094055,7.510185241699219e-05,0.0014280155301094055,0.000239861779846251,0.03789977729320526,0.000239861779846251,0.03789977729320526
R01,01,179,7.230043411254883e-05,0.0013780593872070312,7.230043411254883e-05,0.0013780593872070312,0.00018701913359109312,0.009621977806091309,0.00018701913359109312,0.009621977806091309
R01,01,186,8.982419967651367e-05,0.001537606120109558,8.982419967651367e-05,0.001537606120109558,0.00035461506922729313,0.03837842121720314,0.00035461506922729313,0.03837842121720314
R01,01,192,9.632110595703125e-05,0.0018980279564857483,9.632110595703125e-05,0.0018980279564857483,0.0003850520879495889,0.09871374815702438,0.0003850520879495889,0.09871374815702438
R01,01,199,7.528066635131836e-05,0.0017106980085372925,7.528066635131836e-05,0.0017106980085372925,0.00018838746473193169,0.01234910637140274,0.00018838746473193169,0.01234910637140274
R01,01,206,6.74128532409668e-05,0.0014157705008983612,6.74128532409668e-05,0.0014157705008983612,0.0002276238810736686,0.014993462711572647,0.0002276238810736686,0.014993462711572647
R01,02,0,9.649991989135742e-05,0.0017147175967693329,9.649991989135742e-05,0.0017147175967693329,0.0002699820033740252,0.07063910365104675,0.0002699820033740252,0.07063910365104675
R01,02,6,8.654594421386719e-05,0.0016274582594633102,8.654594421386719e-05,0.0016274582594633102,0.0007859781035222113,0.21433763206005096,0.0007859781035222113,0.21433763206005096
R01,02,13,9.125471115112305e-05,0.0024163275957107544,9.125471115112305e-05,0.0024163275957107544,0.0002797704073600471,0.10602248460054398,0.0002797704073600471,0.10602248460054398
R01,02,20,8.863210678100586e-05,0.001643287017941475,8.863210678100586e-05,0.001643287017941475,0.0002917007077485323,0.06222694367170334,0.0002917007077485323,0.06222694367170334
R01,02,27,8.487701416015625e-05,0.001813860610127449,8.487701416015625e-05,0.001813860610127449,0.00015820986300241202,0.014095917344093323,0.00015820986300241202,0.014095917344093323
R01,02,34,6.54458999633789e-05,0.0017275437712669373,6.54458999633789e-05,0.0017275437712669373,0.00018342133262194693,0.01928795874118805,0.00018342133262194693,0.01928795874118805
R01,02,41,8.636713027954102e-05,0.001710735261440277,8.636713027954102e-05,0.001710735261440277,0.00018027241458185017,0.01754552125930786,0.00018027241458185017,0.01754552125930786
R01,02,48,9.465217590332031e-05,0.0015559196472167969,9.465217590332031e-05,0.0015559196472167969,0.00021707532869186252,0.03140011429786682,0.00021707532869186252,0.03140011429786682
R01,02,54,0.00010710954666137695,0.003452535718679428,0.00010710954666137695,0.003452535718679428,0.00021539775480050594,0.06671316921710968,0.00021539775480050594,0.06671316921710968
R01,02,61,7.426738739013672e-05,0.0013714060187339783,7.426738739013672e-05,0.0013714060187339783,0.00016870837134774774,0.022118180990219116,0.00016870837134774774,0.022118180990219116
R01,02,68,0.0001024007797241211,0.0017063133418560028,0.0001024007797241211,0.0017063133418560028,0.0016995696350932121,0.3701073229312897,0.0016995696350932121,0.3701073229312897
R01,02,75,0.00012087821960449219,0.002422500401735306,0.00012087821960449219,0.002422500401735306,0.0001890013663796708,0.024899791926145554,0.0001890013663796708,0.024899791926145554
R01,02,82,6.967782974243164e-05,0.0015595760196447372,6.967782974243164e-05,0.0015595760196447372,0.0004024818481411785,0.11835522949695587,0.0004024818481411785,0.11835522949695587
R01,02,89,0.00013530254364013672,0.0018171537667512894,0.00013530254364013672,0.0018171537667512894,0.00019399766460992396,0.012963324785232544,0.00019399766460992396,0.012963324785232544
R01,02,96,8.690357208251953e-05,0.0014653680846095085,8.690357208251953e-05,0.0014653680846095085,0.00019860304018948227,0.018046438694000244,0.00019860304018948227,0.018046438694000244
R01,02,103,8.022785186767578e-05,0.0017225444316864014,8.022785186767578e-05,0.0017225444316864014,0.0001515775511506945,0.01066790521144867,0.0001515775511506945,0.01066790521144867
R01,02,109,8.183717727661133e-05,0.0014224797487258911,8.183717727661133e-05,0.0014224797487258911,0.00014474913768935949,0.01851382851600647,0.00014474913768935949,0.01851382851600647
R01,02,116,8.046627044677734e-05,0.0013819988816976547,8.046627044677734e-05,0.0013819988816976547,0.00045629378291778266,0.08483660966157913,0.00045629378291778266,0.08483660966157913
R01,02,123,8.130073547363281e-05,0.0015331879258155823,8.130073547363281e-05,0.0015331879258155823,0.00015741439710836858,0.012883946299552917,0.00015741439710836858,0.012883946299552917
R01,02,130,7.468461990356445e-05,0.0020753219723701477,7.468461990356445e-05,0.0020753219723701477,0.00014951254706829786,0.015256352722644806,0.00014951254706829786,0.015256352722644806
R01,02,137,7.414817810058594e-05,0.0015458576381206512,7.414817810058594e-05,0.0015458576381206512,0.0013881989289075136,0.2087486833333969,0.0013881989289075136,0.2087486833333969
R01,02,144,6.914138793945312e-05,0.0013905540108680725,6.914138793945312e-05,0.0013905540108680725,0.0001678510889178142,0.012019947171211243,0.0001678510889178142,0.012019947171211243
R01,02,151,7.617473602294922e-05,0.0017231442034244537,7.617473602294922e-05,0.0017231442034244537,0.00019136954506393522,0.04978669434785843,0.00019136954506393522,0.04978669434785843
R01,02,158,8.499622344970703e-05,0.0014008060097694397,8.499622344970703e-05,0.0014008060097694397,0.00018535186245571822,0.028466351330280304,0.00018535186245571822,0.028466351330280304
R01,02,164,0.00011813640594482422,0.0018011126667261124,0.00011813640594482422,0.0018011126667261124,0.00019424785568844527,0.02381562441587448,0.00019424785568844527,0.02381562441587448
R01,02,171,9.691715240478516e-05,0.001399509608745575,9.691715240478516e-05,0.001399509608745575,0.00017299439059570432,0.0283464677631855,0.00017299439059570432,0.0283464677631855
R01,02,178,7.712841033935547e-05,0.0015278601786121726,7.712841033935547e-05,0.0015278601786121726,0.00019346251792740077,0.019970078021287918,0.00019346251792740077,0.019970078021287918
R01,02,185,7.355213165283203e-05,0.0020492225885391235,7.355213165283203e-05,0.0020492225885391235,0.00019254341896157712,0.034093502908945084,0.00019254341896157712,0.034093502908945084
R01,02,192,7.641315460205078e-05,0.0014165518805384636,7.641315460205078e-05,0.0014165518805384636,0.0002037294179899618,0.015572801232337952,0.0002037294179899618,0.015572801232337952
R01,02,199,8.100271224975586e-05,0.0014495099894702435,8.100271224975586e-05,0.0014495099894702435,0.0002705208316911012,0.0777641162276268,0.0002705208316911012,0.0777641162276268
R01,02,206,9.042024612426758e-05,0.0018493328243494034,9.042024612426758e-05,0.0018493328243494034,0.00016808435611892492,0.014405891299247742,0.00016808435611892492,0.014405891299247742
R01,02,213,7.009506225585938e-05,0.001375976949930191,7.009506225585938e-05,0.001375976949930191,0.00020334050350356847,0.038885533809661865,0.00020334050350356847,0.038885533809661865
R01,04,0,7.784366607666016e-05,0.0017212815582752228,7.784366607666016e-05,0.0017212815582752228,0.001492122421041131,0.23489777743816376,0.001492122421041131,0.23489777743816376
R01,04,7,7.545948028564453e-05,0.0014225919730961323,7.545948028564453e-05,0.0014225919730961323,0.0005039318930357695,0.0673883855342865,0.0005039318930357695,0.0673883855342865
R01,04,14,0.00011456012725830078,0.0017059575766324997,0.00011456012725830078,0.0017059575766324997,0.001164573710411787,0.19008351862430573,0.001164573710411787,0.19008351862430573
R01,04,22,7.152557373046875e-05,0.0013828687369823456,7.152557373046875e-05,0.0013828687369823456,0.00019416930445004255,0.014791816473007202,0.00019416930445004255,0.014791816473007202
R01,04,29,0.00012761354446411133,0.0029053278267383575,0.00012761354446411133,0.0029053278267383575,0.00022969514247961342,0.027353394776582718,0.00022969514247961342,0.027353394776582718
R01,04,37,8.553266525268555e-05,0.001422025030478835,8.553266525268555e-05,0.001422025030478835,0.0001851671695476398,0.02906787395477295,0.0001851671695476398,0.02906787395477295
R01,04,44,8.416175842285156e-05,0.0013842470943927765,8.416175842285156e-05,0.0013842470943927765,0.00044945324771106243,0.11916448175907135,0.00044945324771106243,0.11916448175907135
R01,04,52,7.915496826171875e-05,0.001692458987236023,7.915496826171875e-05,0.001692458987236023,0.00339985778555274,0.2907814681529999,0.00339985778555274,0.2907814681529999
R01,04,59,9.083747863769531e-05,0.0017148051410913467,9.083747863769531e-05,0.0017148051410913467,0.00023864026297815144,0.025027498602867126,0.00023864026297815144,0.025027498602867126
R01,04,67,0.00010246038436889648,0.001737760379910469,0.00010246038436889648,0.001737760379910469,0.00031274318462237716,0.11043544113636017,0.00031274318462237716,0.11043544113636017
R01,04,74,6.729364395141602e-05,0.0013764724135398865,6.729364395141602e-05,0.0013764724135398865,0.0003560615878086537,0.07668794691562653,0.0003560615878086537,0.07668794691562653
R01,04,81,7.408857345581055e-05,0.0017350316047668457,7.408857345581055e-05,0.0017350316047668457,0.00018500232545193285,0.020179718732833862,0.00018500232545193285,0.020179718732833862
R01,04,89,6.693601608276367e-05,0.00133504718542099,6.693601608276367e-05,0.00133504718542099,0.00018364982679486275,0.04871396720409393,0.00018364982679486275,0.04871396720409393
R01,04,96,9.5367431640625e-05,0.0020644068717956543,9.5367431640625e-05,0.0020644068717956543,0.00023008827702142298,0.07496629655361176,0.00023008827702142298,0.07496629655361176
R01,04,104,0.00012743473052978516,0.002004648558795452,0.00012743473052978516,0.002004648558795452,0.0010734894312918186,0.1961112916469574,0.0010734894312918186,0.1961112916469574
R01,04,111,8.744001388549805e-05,0.0024295561015605927,8.744001388549805e-05,0.0024295561015605927,0.00015891279326751828,0.013884216547012329,0.00015891279326751828,0.013884216547012329
R01,04,119,0.00012022256851196289,0.0020685940980911255,0.00012022256851196289,0.0020685940980911255,0.0009251187439076602,0.14655491709709167,0.0009251187439076602,0.14655491709709167
R01,04,126,8.20159912109375e-05,0.0017217360436916351,8.20159912109375e-05,0.0017217360436916351,0.0007537647616118193,0.14167512953281403,0.0007537647616118193,0.14167512953281403
R01,04,134,6.371736526489258e-05,0.0013888925313949585,6.371736526489258e-05,0.0013888925313949585,0.00015860391431488097,0.010870322585105896,0.00015860391431488097,0.010870322585105896
R01,04,141,6.538629531860352e-05,0.0017044171690940857,6.538629531860352e-05,0.0017044171690940857,0.0003938818408641964,0.06111530959606171,0.0003938818408641964,0.06111530959606171
R01,04,149,8.612871170043945e-05,0.0016988590359687805,8.612871170043945e-05,0.0016988590359687805,0.0007218867540359497,0.14158454537391663,0.0007218867540359497,0.14158454537391663
R01,04,156,0.00013375282287597656,0.002398654818534851,0.00013375282287597656,0.002398654818534851,0.00022215185163076967,0.011569201946258545,0.00022215185163076967,0.011569201946258545
R01,04,163,0.00010526180267333984,0.0019852668046951294,0.00010526180267333984,0.0019852668046951294,0.00019792807870544493,0.010813750326633453,0.00019792807870544493,0.010813750326633453
R01,04,171,8.64863395690918e-05,0.0017345249652862549,8.64863395690918e-05,0.0017345249652862549,0.00019053544383496046,0.0187225341796875,0.00019053544383496046,0.0187225341796875
