phase,variant,mode,samples,model_ms,total_ms,total_p95_ms,numeric_pass,same_eager_patch_max_abs,fp32_patch_cosine,peak_allocated_mib,payload_mib,startup_seconds
pilot,bf16,autotune_graph,16,1.0079963200648006,1.6253956370443727,2.0203818567097187,False,0.0862119197845459,0.0006157739626360126,174.6748046875,165.13916015625,18.400105961132795
pilot,bf16,compile_graph,16,1.0325095063308254,1.596097679187854,1.8347130273468792,False,0.0862119197845459,0.0006157739626360126,174.6748046875,165.13916015625,6.07698526000604
pilot,bf16,eager,16,3.3396325937549896,3.899956054131811,4.298642778303474,True,0.0,0.0005802402529297979,187.73486328125,165.13916015625,0.0036638849414885044
pilot,bf16,graph,16,3.316291122852514,3.865561287966557,4.21226795297116,True,0.0,0.0005802402529297979,203.36572265625,165.13916015625,0.025134383933618665
pilot,w4_native,autotune_graph,16,3.267861752343985,3.826279474499946,4.240679135546088,False,0.13480541110038757,0.13267224514856935,66.013671875,55.73291015625,8.992067443905398
pilot,w4_native,compile_graph,16,3.250022685582129,3.810127125082848,4.248829011339694,False,0.13480541110038757,0.13267224514856935,66.013671875,55.73291015625,7.382389731938019
pilot,w4_native,eager,16,5.377780427807011,5.964669457171112,6.61544973263517,True,0.0,0.13273189589381218,79.07373046875,55.73291015625,0.006095309974625707
pilot,w4_native,graph,16,5.1956317280807225,5.796878438559361,6.367631314788014,True,0.0,0.13273189589381218,76.45458984375,55.73291015625,0.037296516820788383
pilot,w4_packed,autotune_graph,16,1.1341879192817335,1.7060221143765375,2.0741754444316025,False,0.151299387216568,0.1325824586674571,53.8310546875,46.17041015625,19.650011521065608
pilot,w4_packed,compile_graph,16,1.2625754801168416,1.8165825410202767,1.9072901690378785,False,0.13301466405391693,0.13276682887226343,53.8310546875,46.17041015625,9.636919744778425
pilot,w4_packed,eager,16,7.599410067390029,8.161639867466874,8.63967287587002,True,0.0,0.13272425066679716,84.3681640625,46.17041015625,0.007471719989553094
pilot,w4_packed,graph,16,5.024929938372225,5.583239758076767,6.13146941177547,True,0.0,0.13272425066679716,80.52197265625,46.17041015625,0.051193539053201675
pilot,w8a16,autotune_graph,16,1.8359378882450983,2.4479044950567186,2.8987071942538023,False,0.21112169325351715,0.0014883225994708482,94.4208984375,84.37646484375,17.251921775052324
pilot,w8a16,compile_graph,16,1.710533654356065,2.2747186691655465,2.4882327066734433,False,0.21112169325351715,0.0014883225994708482,94.4208984375,84.37646484375,7.51884797308594
pilot,w8a16,eager,16,4.800438531674445,5.354696904153873,5.563687847461551,True,0.0,0.0014124773479124997,109.01806640625,84.37646484375,0.004857909167185426
pilot,w8a16,graph,16,3.737689539169272,4.296185477869585,4.6856835833750665,True,0.0,0.0014124773479124997,121.11181640625,84.37646484375,0.03284568898379803
pilot,w8a8,autotune_graph,16,1.6202049834343295,2.1780136739835143,2.298142306972295,False,0.33038121461868286,0.006459900178015232,94.4208984375,84.37646484375,21.367788966046646
pilot,w8a8,compile_graph,16,1.596037783504774,2.1551142514605695,2.3189463652670383,False,0.33038121461868286,0.006459900178015232,94.4208984375,84.37646484375,13.656322492985055
pilot,w8a8,eager,16,21.601602173177525,22.197052894625813,22.553438565228134,True,0.0,0.006473233574070036,123.3818359375,84.37646484375,0.021472190972417593
pilot,w8a8,graph,16,9.032285161083564,9.750269896661242,10.208512702956796,True,0.0,0.006473233574070036,121.11181640625,84.37646484375,0.1296950711403042
full,bf16,autotune_graph,384,0.9297130927734543,1.4744981239750308,1.610038173384965,False,0.18460360169410706,0.0004503072635012965,174.6748046875,165.13916015625,18.88991894805804
full,bf16,graph,384,3.3062034134571956,3.8480179444175318,4.213103326037526,True,0.0,0.00044413592896338133,203.36572265625,165.13916015625,0.025515429908409715
full,w4_native,compile_graph,384,3.26451002648456,3.8211318547433217,4.249324090778828,False,0.3696901798248291,0.13031166151631624,66.013671875,55.73291015625,7.527982319938019
full,w4_native,graph,384,5.196214296625436,5.76316035444001,6.371206475887448,True,0.0,0.13029207135938728,76.45458984375,55.73291015625,0.03735766001045704
full,w4_packed,autotune_graph,384,1.0929357718446733,1.6419542490540253,1.8265363876707856,False,0.2446262687444687,0.1303013312475135,53.8310546875,46.17041015625,20.216438583098352
full,w4_packed,graph,384,4.943823905705358,5.525245357097851,6.195876200217754,True,0.0,0.13030799901268134,80.52197265625,46.17041015625,0.04982705507427454
full,w8a16,compile_graph,384,1.7195899159155994,2.267100252033237,2.51573994755745,False,0.2977333962917328,0.0012249683078759215,94.4208984375,84.37646484375,7.465397340944037
full,w8a16,graph,384,3.747818651188734,4.298244758400768,4.707161663100123,True,0.0,0.001243131217051996,121.11181640625,84.37646484375,0.03284745686687529
full,w8a8,compile_graph,384,1.5745990636383391,2.121620577074484,2.263351366855204,False,0.43302083015441895,0.006577364133894055,94.4208984375,84.37646484375,13.57248358009383
full,w8a8,graph,384,9.032185650842925,9.603413008436393,10.08221881929785,True,0.0,0.0065723091999340495,121.11181640625,84.37646484375,0.1274972960818559
