repeat,scene,video,frame,input_ms,model_wall_ms,gpu_interval_ms,total_ms
0,R01,01,0,0.7400291506201029,40.90180085040629,40.86067199707031,41.64183000102639
0,R01,01,6,0.47622108832001686,41.52406705543399,41.49814224243164,42.000288143754005
0,R01,01,13,0.5501999985426664,40.660013910382986,40.63011169433594,41.21021390892565
0,R01,01,19,0.511145917698741,41.419649962335825,41.393409729003906,41.930795880034566
0,R01,01,26,0.48052798956632614,41.28212993964553,41.25299072265625,41.762657929211855
0,R01,01,33,0.4989940207451582,41.37492389418185,41.33708953857422,41.873917914927006
0,R01,01,39,0.5316960159689188,40.68738385103643,40.6517448425293,41.21907986700535
0,R01,01,46,0.5597490817308426,41.57835990190506,41.53254318237305,42.1381089836359
0,R01,01,53,0.5995340179651976,40.86390812881291,40.82112121582031,41.46344214677811
0,R01,01,59,0.5688758101314306,41.63005715236068,41.59379196166992,42.19893296249211
0,R01,01,66,0.486218836158514,40.7170110847801,40.68966293334961,41.20322992093861
0,R01,01,73,0.4384987987577915,41.35251208208501,41.329185485839844,41.791010880842805
0,R01,01,79,0.4456229507923126,40.37846112623811,40.355743408203125,40.82408407703042
0,R01,01,86,0.4303939640522003,41.22121399268508,41.1993293762207,41.65160795673728
0,R01,01,93,0.4200839903205633,40.21773696877062,40.19295883178711,40.63782095909119
0,R01,01,99,0.4291620571166277,40.73469387367368,40.711936950683594,41.163855930790305
0,R01,01,106,0.41777011938393116,40.29902094043791,40.231937408447266,40.716791059821844
0,R01,01,112,0.4239508416503668,40.198771050199866,40.1769905090332,40.62272189185023
0,R01,01,119,0.42992294766008854,40.19085690379143,40.168704986572266,40.620779851451516
0,R01,01,126,0.41753891855478287,40.29358993284404,40.27228927612305,40.711128851398826
0,R01,01,132,0.41825114749372005,41.15021997131407,41.11686325073242,41.56847111880779
0,R01,01,139,0.6221369840204716,40.85504217073321,40.816673278808594,41.477179154753685
0,R01,01,146,0.5490679759532213,41.57777805812657,41.5384635925293,42.12684603407979
0,R01,01,152,0.577291939407587,40.81509611569345,40.777408599853516,41.39238805510104
0,R01,01,159,0.5424160044640303,41.482879081740975,41.427486419677734,42.025295086205006
0,R01,01,166,0.6145921070128679,40.946043794974685,40.88956832885742,41.56063590198755
0,R01,01,172,0.6484061013907194,41.0813488997519,41.029151916503906,41.72975500114262
0,R01,01,179,0.5833019968122244,40.84478295408189,40.79897689819336,41.42808495089412
0,R01,01,186,0.5954960361123085,41.25316417776048,41.22185516357422,41.84866021387279
0,R01,01,192,0.43756701052188873,41.25986690632999,41.23721694946289,41.69743391685188
0,R01,01,199,0.43239700607955456,40.98763200454414,40.96550369262695,41.42002901062369
0,R01,01,206,0.41444413363933563,40.313647827133536,40.2907829284668,40.72809196077287
0,R01,02,0,0.4141328390687704,41.11493309028447,41.08531188964844,41.52906592935324
0,R01,02,6,0.4924619570374489,40.56132608093321,40.533729553222656,41.05378803797066
0,R01,02,13,0.424032099545002,41.16193181835115,41.13792037963867,41.58596391789615
0,R01,02,20,0.4496900364756584,40.43440613895655,40.39750289916992,40.884096175432205
0,R01,02,27,0.6110649555921555,41.81389487348497,41.77385711669922,42.424959829077125
0,R01,02,34,0.5656899884343147,40.83450301550329,40.80271911621094,41.4001930039376
0,R01,02,41,0.5356629844754934,41.59129410982132,41.5563850402832,42.12695709429681
0,R01,02,48,0.5960569251328707,40.94415996223688,40.881534576416016,41.54021688736975
0,R01,02,54,0.7091511506587267,42.16097085736692,42.09475326538086,42.870122008025646
0,R01,02,61,0.6241700612008572,40.931777097284794,40.878814697265625,41.55594715848565
0,R01,02,68,0.5901260301470757,40.91799003072083,40.872127532958984,41.508116060867906
0,R01,02,75,0.5603788886219263,40.80305411480367,40.77004623413086,41.3634330034256
0,R01,02,82,0.46216417104005814,40.95912794582546,40.928096771240234,41.421292116865516
0,R01,02,89,0.5111959762871265,40.68923811428249,40.640350341796875,41.200434090569615
0,R01,02,96,0.6191001739352942,41.90839291550219,41.85468673706055,42.527493089437485
0,R01,02,103,0.5267660599201918,40.6498028896749,40.61801528930664,41.176568949595094
0,R01,02,109,0.44921995140612125,40.85429012775421,40.82585525512695,41.30351007916033
0,R01,02,116,0.45766495168209076,40.55274021811783,40.52876663208008,41.010405169799924
0,R01,02,123,0.43971207924187183,41.09115689061582,41.053855895996094,41.53086896985769
0,R01,02,130,0.6004259921610355,41.009892942383885,40.9541130065918,41.61031893454492
0,R01,02,137,0.6262240931391716,41.12322791479528,41.076961517333984,41.74945200793445
0,R01,02,144,0.5607211496680975,40.83686601370573,40.79062271118164,41.39758716337383
0,R01,02,151,0.5690960679203272,41.59052204340696,41.53132629394531,42.15961811132729
0,R01,02,158,0.6214349996298552,40.94223608262837,40.88566589355469,41.563671082258224
0,R01,02,164,0.6370651535689831,41.01769905537367,40.961055755615234,41.65476420894265
0,R01,02,171,0.5914580542594194,40.88687198236585,40.835262298583984,41.478330036625266
0,R01,02,178,0.6353911012411118,40.93063389882445,40.888126373291016,41.566025000065565
0,R01,02,185,0.45404909178614616,40.6495719216764,40.62163162231445,41.10362101346254
0,R01,02,192,0.4487689584493637,41.39950009994209,41.37321472167969,41.84826905839145
0,R01,02,199,0.43782778084278107,40.512073086574674,40.48976135253906,40.949900867417455
0,R01,02,206,0.4254039376974106,41.206725873053074,41.182273864746094,41.632129810750484
0,R01,02,213,0.43149618431925774,40.326392045244575,40.304542541503906,40.75788822956383
0,R01,04,0,0.42159692384302616,41.12365911714733,41.101470947265625,41.54525604099035
0,R01,04,7,0.44505205005407333,40.44629796408117,40.42009735107422,40.89135001413524
0,R01,04,14,0.5328881088644266,41.63041687570512,41.59891128540039,42.16330498456955
0,R01,04,22,0.5543879233300686,40.7371090259403,40.70912170410156,41.29149694927037
0,R01,04,29,0.4866400267928839,41.41346691176295,41.38265609741211,41.90010693855584
0,R01,04,37,0.5661610048264265,40.88439606130123,40.84316635131836,41.45055706612766
0,R01,04,44,0.6198720075190067,40.91698816046119,40.87206268310547,41.536860167980194
0,R01,04,52,0.5977398250252008,40.90190911665559,40.76544189453125,41.49964894168079
0,R01,04,59,0.5578650161623955,41.24600999057293,41.19609451293945,41.803875006735325
0,R01,04,67,0.6063070613890886,40.871711913496256,40.829376220703125,41.478018974885345
0,R01,04,74,0.46979915350675583,41.56712698750198,41.5401611328125,42.036926141008735
0,R01,04,81,0.45455992221832275,40.62029696069658,40.59516906738281,41.0748568829149
0,R01,04,89,0.44232606887817383,41.294761933386326,41.26569747924805,41.7370880022645
0,R01,04,96,0.4983721300959587,40.69000878371298,40.658206939697266,41.18838091380894
0,R01,04,104,0.47027901746332645,41.36039596050978,41.33536148071289,41.8306749779731
0,R01,04,111,0.48351380974054337,40.5405662022531,40.511104583740234,41.02408001199365
