repeat,video,frame,processing_ms
0,01,0,4.243230912834406
0,01,6,4.085935885086656
0,01,13,3.8484889082610607
0,01,19,3.8392411079257727
0,01,26,4.263830836862326
0,01,33,3.8653002120554447
0,01,39,3.8207359611988068
0,01,46,3.801640821620822
0,01,53,4.268961027264595
0,01,59,3.8814200088381767
0,01,66,3.8250249344855547
0,01,73,3.8105479907244444
0,01,79,4.360903054475784
0,01,86,3.952485043555498
0,01,93,3.8356950972229242
0,01,99,3.8194339722394943
0,01,106,3.8094748742878437
0,01,112,3.877663053572178
0,01,119,3.8009597919881344
0,01,126,3.8026319816708565
0,01,132,3.8088031578809023
0,01,139,4.399505909532309
0,01,146,3.7933150306344032
0,01,152,3.806138876825571
0,01,159,3.8025828544050455
0,01,166,4.253119928762317
0,01,172,3.8622948341071606
0,01,179,3.790911054238677
0,01,186,3.789326874539256
0,01,192,4.2532808147370815
0,01,199,3.837849013507366
0,01,206,3.782344050705433
0,02,0,3.7806308828294277
0,02,6,3.782454179599881
0,02,13,3.8765219505876303
0,02,20,3.7865519989281893
0,02,27,3.798675024881959
0,02,34,3.808483015745878
0,02,41,3.9898951072245836
0,02,48,3.810086054727435
0,02,54,3.793124109506607
0,02,61,3.7824539467692375
0,02,68,4.2728278785943985
0,02,75,3.840313060209155
0,02,82,3.7941772025078535
0,02,89,3.7897881120443344
0,02,96,4.174141911789775
0,02,103,3.846194129437208
0,02,109,3.7960908375680447
0,02,116,3.791040973737836
0,02,123,3.791580908000469
0,02,130,3.8798379246145487
0,02,137,3.7790981587022543
0,02,144,3.79327405244112
0,02,151,3.7887271028012037
0,02,158,4.251948790624738
0,02,164,3.8480269722640514
0,02,171,3.7890467792749405
0,02,178,3.797692945227027
0,02,185,4.248552024364471
0,02,192,3.845574101433158
0,02,199,3.7884460762143135
0,02,206,3.7807710468769073
0,02,213,4.252688959240913
0,04,0,3.8405938539654016
0,04,7,3.775702090933919
0,04,14,3.7962899077683687
0,04,22,3.78578994423151
0,04,29,3.8806400261819363
0,04,37,3.824954852461815
0,04,44,3.7966310046613216
0,04,52,3.8341209292411804
0,04,59,4.145829007029533
0,04,67,3.8013600278645754
0,04,74,3.795417957007885
0,04,81,3.7958999164402485
0,04,89,4.237521206960082
0,04,96,3.8506430573761463
0,04,104,3.796790959313512
0,04,111,3.7870430387556553
0,04,119,4.171896958723664
0,04,126,3.855491988360882
0,04,134,3.7827850319445133
0,04,141,3.788775997236371
0,04,149,3.787263063713908
0,04,156,3.960500005632639
0,04,163,3.787803929299116
0,04,171,3.8011588621884584
0,04,178,3.7860909942537546
0,04,186,4.177758004516363
0,04,193,3.8675840478390455
0,04,201,3.791461931541562
0,04,208,3.7890570238232613
0,04,216,4.262136993929744
0,04,223,3.874638117849827
0,04,231,3.782193874940276
1,01,0,3.776281839236617
1,01,6,4.247009987011552
1,01,13,3.85848805308342
1,01,19,3.8132520858198404
1,01,26,3.781733103096485
1,01,33,3.7923729978501797
1,01,39,3.9106959011405706
1,01,46,3.795008175075054
1,01,53,3.8094359915703535
1,01,59,3.7825340405106544
1,01,66,4.274860955774784
1,01,73,3.835825016722083
1,01,79,3.7761121056973934
1,01,86,3.7772939540445805
1,01,93,4.292063880711794
1,01,99,3.8390709087252617
1,01,106,3.7908798549324274
1,01,112,3.798134159296751
1,01,119,4.166417988017201
1,01,126,3.847697051241994
1,01,132,3.7953080609440804
1,01,139,3.784649074077606
1,01,146,3.786521963775158
1,01,152,3.8622249849140644
1,01,159,3.789807902649045
1,01,166,3.7935550790280104
1,01,172,3.7894470151513815
1,01,179,4.329453920945525
1,01,186,3.791632130742073
1,01,192,3.7969020195305347
1,01,199,3.78258409909904
1,01,206,4.242932191118598
1,02,0,3.836715826764703
1,02,6,3.7900679744780064
1,02,13,3.7738981191068888
1,02,20,4.252969985827804
1,02,27,3.8416748866438866
1,02,34,3.797922981902957
1,02,41,3.7822439335286617
1,02,48,3.7959590554237366
1,02,54,3.8653200026601553
1,02,61,3.798926016315818
1,02,68,3.789166919887066
1,02,75,3.777946112677455
1,02,82,4.087639041244984
1,02,89,3.7949178367853165
1,02,96,3.7736680824309587
1,02,103,3.7926239892840385
1,02,109,4.250375088304281
1,02,116,3.845163155347109
1,02,123,3.7951490376144648
1,02,130,3.7925729993730783
1,02,137,4.170685075223446
1,02,144,3.846926148980856
1,02,151,3.7847780622541904
1,02,158,3.796229837462306
1,02,164,4.15999605320394
1,02,171,4.5435570646077394
1,02,178,3.7979839835315943
1,02,185,3.817480057477951
1,02,192,4.181775962933898
1,02,199,3.8334401324391365
1,02,206,3.7837971467524767
1,02,213,3.8029029965400696
1,04,0,3.793674986809492
1,04,7,4.490387858822942
1,04,14,3.855502000078559
1,04,22,3.7964999210089445
1,04,29,3.7864618934690952
1,04,37,4.373558098450303
1,04,44,3.835254115983844
1,04,52,3.793935989961028
1,04,59,3.7913010455667973
1,04,67,4.247559932991862
1,04,74,3.851203015074134
1,04,81,3.800428006798029
1,04,89,3.8040950894355774
1,04,96,4.1563690174371
1,04,104,3.853637957945466
1,04,111,3.783405991271138
1,04,119,3.777253907173872
1,04,126,3.84830916300416
1,04,134,3.9818899240344763
1,04,141,3.836316056549549
1,04,149,3.812852082774043
1,04,156,3.8443810772150755
1,04,163,4.397883079946041
1,04,171,3.8502418901771307
1,04,178,3.7882758770138025
1,04,186,3.804985899478197
1,04,193,4.428831161931157
1,04,201,3.8512239698320627
1,04,208,3.8236419204622507
1,04,216,3.802821971476078
1,04,223,4.246859112754464
1,04,231,3.8340010214596987
2,01,0,3.796942066401243
2,01,6,3.789037000387907
2,01,13,3.785901004448533
2,01,19,3.863536985591054
2,01,26,3.7885759957134724
2,01,33,3.7741290871053934
2,01,39,3.80338286049664
2,01,46,4.2496840469539165
2,01,53,3.7984750233590603
2,01,59,3.792912932112813
2,01,66,3.800888080149889
2,01,73,4.2697221506386995
2,01,79,3.844470949843526
2,01,86,3.799295984208584
2,01,93,3.793946001678705
2,01,99,4.247541073709726
2,01,106,3.8582070264965296
2,01,112,3.7777649704366922
2,01,119,3.7825051695108414
2,01,126,4.167850129306316
2,01,132,3.8369258400052786
2,01,139,3.8019109051674604
2,01,146,3.8121300749480724
2,01,152,3.8172302301973104
2,01,159,4.288736963644624
2,01,166,3.798514837399125
2,01,172,3.797281999140978
2,01,179,3.7907001096755266
2,01,186,4.4251251965761185
2,01,192,3.848809050396085
2,01,199,3.788525005802512
2,01,206,3.7858309224247932
2,02,0,4.262277856469154
2,02,6,3.8412148132920265
2,02,13,3.7885860074311495
2,02,20,3.786281915381551
2,02,27,4.250505939126015
2,02,34,3.842908190563321
2,02,41,3.7987350951880217
2,02,48,3.7810609210282564
2,02,54,3.765793051570654
2,02,61,3.861913923174143
2,02,68,3.7915410939604044
2,02,75,3.8006179966032505
2,02,82,3.7948070093989372
2,02,89,4.467615159228444
2,02,96,3.7930149119347334
2,02,103,3.7967620883136988
2,02,109,3.7899089511483908
2,02,116,4.242411116138101
2,02,123,3.8249348290264606
2,02,130,3.7952291313558817
2,02,137,3.7860109005123377
2,02,144,4.2547641787678
2,02,151,3.8514540065079927
2,02,158,3.796169999986887
2,02,164,3.7908190861344337
2,02,171,4.180012969300151
2,02,178,3.8348629605025053
2,02,185,3.787402994930744
2,02,192,3.7974920123815536
2,02,199,3.8006491959095
2,02,206,4.288436844944954
2,02,213,3.856734139844775
2,04,0,3.786291927099228
2,04,7,3.7966410163789988
2,04,14,4.748092964291573
2,04,22,4.4486490078270435
2,04,29,3.810145892202854
2,04,37,3.8243639282882214
2,04,44,4.444621037691832
2,04,52,3.8557720836251974
2,04,59,3.792483825236559
2,04,67,3.788274945691228
2,04,74,4.399966914206743
2,04,81,3.856393974274397
2,04,89,3.7904190830886364
2,04,96,3.7982240319252014
2,04,104,4.244084004312754
2,04,111,3.854749957099557
2,04,119,3.794476855546236
2,04,126,3.7977530155330896
2,04,134,4.265995929017663
2,04,141,3.856213064864278
2,04,149,3.7964009679853916
2,04,156,3.779057879000902
2,04,163,3.77529114484787
2,04,171,4.230257123708725
2,04,178,3.7925641518086195
2,04,186,3.7922330666333437
2,04,193,3.7777049001306295
2,04,201,4.295190097764134
2,04,208,3.8433088921010494
2,04,216,3.791701979935169
2,04,223,3.7735369987785816
2,04,231,4.251667996868491
