video,frame,cls_cosine_distance,cls_max_abs_difference,patch12_cosine_distance,patch12_max_abs_difference
01,0,1.7881393432617188e-07,0.0,1.950028583053154e-08,0.0
01,6,0.0,0.0,2.0972004577402004e-08,0.0
01,13,0.0,0.0,2.1707863950837236e-08,0.0
01,19,0.0,0.0,2.1155969420760812e-08,0.0
01,26,0.0,0.0,2.1891828794196044e-08,0.0
01,33,0.0,0.0,2.2995619630705733e-08,0.0
01,39,0.0,0.0,2.4835268064293814e-08,0.0
01,46,1.1920928955078125e-07,0.0,1.7108741090510193e-08,0.0
01,53,5.960464477539063e-08,0.0,2.1891828794196044e-08,0.0
01,59,0.0,0.0,2.1155969420760812e-08,0.0
01,66,0.0,0.0,2.0972004577402004e-08,0.0
01,73,0.0,0.0,2.1891828794196044e-08,0.0
01,79,0.0,0.0,2.2443725100629308e-08,0.0
01,86,0.0,0.0,2.1523899107478428e-08,0.0
01,93,0.0,0.0,1.7660635620586618e-08,0.0
01,99,5.960464477539063e-08,0.0,2.1891828794196044e-08,0.0
01,106,1.7881393432617188e-07,0.0,1.8028565307304234e-08,0.0
01,112,0.0,0.0,2.0788039734043195e-08,0.0
01,119,0.0,0.0,1.8764424680739467e-08,0.0
01,126,0.0,0.0,2.133993426411962e-08,0.0
01,132,0.0,0.0,2.1707863950837236e-08,0.0
01,139,0.0,0.0,2.1891828794196044e-08,0.0
01,146,0.0,0.0,2.0604074890684387e-08,0.0
01,152,0.0,0.0,2.1707863950837236e-08,0.0
01,159,0.0,0.0,2.3547514160782157e-08,0.0
01,166,0.0,0.0,1.9132354367457083e-08,0.0
01,172,5.960464477539063e-08,0.0,2.3731479004140965e-08,0.0
01,179,0.0,0.0,2.1523899107478428e-08,0.0
01,186,0.0,0.0,2.0788039734043195e-08,0.0
01,192,0.0,0.0,2.2995619630705733e-08,0.0
01,199,0.0,0.0,1.839649499402185e-08,0.0
01,206,5.960464477539063e-08,0.0,1.839649499402185e-08,0.0
02,0,0.0,0.0,2.3731479004140965e-08,0.0
02,6,0.0,0.0,1.9684250673890347e-08,0.0
02,13,0.0,0.0,1.931632098717273e-08,0.0
02,20,0.0,0.0,2.317958447406454e-08,0.0
02,27,0.0,0.0,2.0788039734043195e-08,0.0
02,34,0.0,0.0,2.22597602572705e-08,0.0
02,41,0.0,0.0,2.1707863950837236e-08,0.0
02,48,0.0,0.0,1.747667077722781e-08,0.0
02,54,0.0,0.0,2.2075795413911692e-08,0.0
02,61,0.0,0.0,2.0788039734043195e-08,0.0
02,68,0.0,0.0,2.0604074890684387e-08,0.0
02,75,0.0,0.0,1.9132354367457083e-08,0.0
02,82,5.960464477539063e-08,0.0,2.409940869085858e-08,0.0
02,89,0.0,0.0,1.7660635620586618e-08,0.0
02,96,0.0,0.0,2.0052180360607963e-08,0.0
02,103,0.0,0.0,2.0052180360607963e-08,0.0
02,109,0.0,0.0,2.2995619630705733e-08,0.0
02,116,1.1920928955078125e-07,0.0,2.2627689943988116e-08,0.0
02,123,5.960464477539063e-08,0.0,2.133993426411962e-08,0.0
02,130,1.7881393432617188e-07,0.0,2.2995619630705733e-08,0.0
02,137,1.1920928955078125e-07,0.0,2.0972004577402004e-08,0.0
02,144,0.0,0.0,2.1707863950837236e-08,0.0
02,151,0.0,0.0,1.8028565307304234e-08,0.0
02,158,0.0,0.0,2.3731479004140965e-08,0.0
02,164,5.960464477539063e-08,0.0,2.1891828794196044e-08,0.0
02,171,0.0,0.0,2.1523899107478428e-08,0.0
02,178,0.0,0.0,2.0604074890684387e-08,0.0
02,185,1.1920928955078125e-07,0.0,2.2995619630705733e-08,0.0
02,192,0.0,0.0,2.1891828794196044e-08,0.0
02,199,0.0,0.0,2.6490953430879927e-08,0.0
02,206,1.1920928955078125e-07,0.0,1.7844600463945426e-08,0.0
02,213,0.0,0.0,2.3915443847499773e-08,0.0
04,0,0.0,0.0,1.8212530150663042e-08,0.0
04,7,0.0,0.0,2.704284796095635e-08,0.0
04,14,0.0,0.0,2.2811654787346924e-08,0.0
04,22,0.0,0.0,1.8764424680739467e-08,0.0
04,29,0.0,0.0,2.0788039734043195e-08,0.0
04,37,0.0,0.0,2.1155969420760812e-08,0.0
04,44,0.0,0.0,2.5571129214085886e-08,0.0
04,52,0.0,0.0,1.747667077722781e-08,0.0
04,59,0.0,0.0,2.3915443847499773e-08,0.0
