"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Body Item Label","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Command line profiler metrics","","dram__bytes_read.sum","","n/a",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Command line profiler metrics","","dram__bytes_write.sum","","n/a",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","DRAM Frequency","Ghz","13.20",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","SM Frequency","Ghz","2.26",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","Elapsed Cycles","cycle","12735",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","Memory Throughput","%","10.37",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","DRAM Throughput","%","0.02",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","Duration","us","5.63",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","L1/TEX Cache Throughput","%","44.50",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","Waves Per SM","","0.19",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","qkv_M1_bf16_warm/triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","L2 Cache Throughput","%","10.37",
