"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_read.sum","","n/a",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_write.sum","","n/a",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","13.20",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","SM Frequency","Ghz","2.26",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","12735",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","Memory Throughput","%","10.37",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","DRAM Throughput","%","0.02",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","Duration","us","5.63",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","44.50",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","L2 Cache Throughput","%","10.37",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","SM Active Cycles","cycle","1654.02",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","3.03",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","SpeedOfLight","","","","SOLBottleneck","OPT","This kernel grid is too small to fill the available resources on this device, resulting in only 0.19 full waves across all SMs. Look at Launch Statistics for more details.","",""
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Compute Workload Analysis","Executed Ipc Active","inst/cycle","0.36",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.05",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Compute Workload Analysis","Issue Slots Busy","%","1.17",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Compute Workload Analysis","Issued Ipc Active","inst/cycle","0.36",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Compute Workload Analysis","SM Busy","%","2.31",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","ComputeWorkloadAnalysis","","","","HighPipeUtilization","OPT","All compute pipelines are under-utilized. Either this workload is very small or it doesn't issue enough warps per scheduler. Check the Launch Statistics and Scheduler Statistics sections for further details.","local","97.69"
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","L2 Sector Promotion Misses","%","0",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Shared Memory Spilling Requests","","0",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Shared Memory Spilling Request Overhead","%","0",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Memory Throughput","Mbyte/s","409.09",
"0","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_warm:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Mem Busy","%","10.37",
