layer,M,kind,regime,median_us,mean_us,min_us,max_us,rounds
fc2,64,fused_int4,eviction_attempt,49.15200173854828,50.22628605365753,49.15200173854828,55.296000093221664,21
fc2,325,bf16,warm,15.321999788284302,15.38971412394728,15.033000148832798,16.297999769449234,7
fc2,325,bf16,eviction_attempt,20.479999482631683,20.556190006789706,20.096000283956528,22.495999932289124,21
fc2,325,native_int4,warm,63.415996730327606,63.55100018637521,63.207000494003296,64.53599780797958,7
fc2,325,native_int4,eviction_attempt,69.60000097751617,68.7512389960743,67.58400052785873,69.63200122117996,21
fc2,325,packed_int4,warm,18.713999539613724,19.062857276626996,18.588000908493996,20.968999713659286,7
fc2,325,packed_int4,eviction_attempt,22.52800017595291,23.532190847964515,22.52800017595291,26.623999699950218,21
fc2,325,dequant_only,warm,4.168999847024679,4.27528570539185,4.108999855816364,4.9589998088777065,7
fc2,325,dequant_only,eviction_attempt,8.191999979317188,7.32342858931848,6.144000217318535,8.191999979317188,21
fc2,325,predequant_gemm,warm,14.658999629318714,14.757571475846428,14.096999540925026,15.88200032711029,7
fc2,325,predequant_gemm,eviction_attempt,20.479999482631683,20.662856776089896,18.592000007629395,22.52800017595291,21
fc2,325,fused_int4,warm,43.26599836349487,43.327285242932184,42.97199845314026,43.914999812841415,7
fc2,325,fused_int4,eviction_attempt,51.19999870657921,50.79161890205883,49.15200173854828,59.007998555898666,21
