variant,mode,total_ms,p95_ms,model_ms,gpu_interval_ms,peak_allocated_mib,first_call_seconds,numeric_pass
bf16,eager,3.9177301379014455,4.318052891176194,3.479278839828718,3.4443856910285024,188.24609375,0.0033882439602166414,True
w8a16,eager,5.442050602141535,5.9126617619767785,5.008728894204574,4.976142891165283,111.529296875,0.0049546449445188046,True
w8a8,eager,53.42668893212653,56.30553074879572,52.951448743341544,52.912593238883545,125.08056640625,0.05240197596140206,True
w4a16,eager,5.911415067708327,6.585498386994004,5.480222456955946,5.444944339079989,81.201171875,0.005852892063558102,True
bf16,default,2.2771494511996733,2.58525914978236,1.819282179793744,1.7872045280204878,189.7236328125,8.416460820939392,False
w8a16,default,41.36265959904348,42.25286259315908,40.84802843095127,40.80531202753385,114.03271484375,8.245374484919012,False
w8a8,default,3.3161588625161027,3.5520656267181043,2.872637648276092,2.840176415319244,116.03466796875,12.586310615995899,False
w4a16,default,3.8408740892919013,4.329266969580203,3.3949107138242756,3.3637449416435428,79.40185546875,7.774842436192557,False
bf16,reduce-overhead,1.4819584090825326,1.5321089304052293,1.0445956571250765,1.0145709183481004,173.3916015625,6.450441058026627,False
w8a16,reduce-overhead,44.649796589106295,45.45193545054644,44.173056129996745,44.128279788626564,94.3251953125,7.810287432046607,False
w8a8,reduce-overhead,1.9753470739184802,2.283786062616855,1.5311445371884878,1.501271304467486,94.3251953125,12.83467925596051,False
w4a16,reduce-overhead,3.710276185302064,4.149557929486036,3.269492024224342,3.2344415564503937,65.8603515625,7.79528025095351,False
bf16,reduce-overhead-precise,1.494112643437499,1.5926635125651956,1.0483809354708582,1.01697316688175,173.3916015625,6.524002613965422,False
w8a16,reduce-overhead-precise,44.58337713145334,45.512818929273635,44.10948834952756,44.065202133523094,94.3251953125,8.057286241091788,False
w8a8,reduce-overhead-precise,2.0281668845806657,2.1439790725708012,1.5905091659078607,1.5598009432562523,94.3251953125,13.89856955781579,False
w4a16,reduce-overhead-precise,3.7304918635830595,4.167347017209977,3.2851304557779155,3.2505881424165435,65.8603515625,8.054545307066292,False
