scene,video,frame,input_bf16_sha256,fp32_cls_max_abs,fp32_cls_mean_abs,fp32_cls_cosine_mean,bf16_eager_cls_max_abs,bf16_eager_cls_mean_abs,bf16_eager_cls_cosine_mean,same_eager_cls_max_abs,same_eager_cls_mean_abs,same_eager_cls_cosine_mean,fp32_patch12_max_abs,fp32_patch12_mean_abs,fp32_patch12_cosine_mean,bf16_eager_patch12_max_abs,bf16_eager_patch12_mean_abs,bf16_eager_patch12_cosine_mean,same_eager_patch12_max_abs,same_eager_patch12_mean_abs,same_eager_patch12_cosine_mean
R01,01,0,f1e792111f1802b3ca869d55ad33c2b169dd4663baba4de8139325acfb92439e,0.005421665962785482,0.001193984760902822,0.0008649230003356934,0.004496853798627853,0.001082641538232565,0.0007348060607910156,0.0020559802651405334,0.00042789234430529177,0.00012022256851196289,0.06793354451656342,0.0012217797338962555,0.0010105136316269636,0.012230366468429565,0.0010768630309030414,0.0007404627976939082,0.009059950709342957,0.0004839183820877224,0.00015411221829708666
R01,01,166,69a9e24b1f876dbdf270d48fdf157bed2e7925671e756195042ffc90c365dbdb,0.0044751595705747604,0.0010853662388399243,0.0007213950157165527,0.004522336646914482,0.00104350910987705,0.0006552934646606445,0.002604602836072445,0.00047916514449752867,0.00014024972915649414,0.1744966059923172,0.0012207963736727834,0.0016561886295676231,0.19474992156028748,0.001162087544798851,0.0016813543625175953,0.06883670389652252,0.0005247948574833572,0.0002341469080420211
R01,02,130,4c956c29e4a35c79f8ceb372d6b9b06ace9a55789ab603441895073b3a5b5a9b,0.004979501478374004,0.0011823229724541306,0.0008486509323120117,0.004841840825974941,0.001182188163511455,0.0008640289306640625,0.0020226319320499897,0.0004760996962431818,0.00014024972915649414,0.11669908463954926,0.0011885622516274452,0.000998615170828998,0.03801029920578003,0.0011207786155864596,0.0008146218024194241,0.011201120913028717,0.0004973795148544014,0.00016719911945983768
R01,04,89,c524075a1b6753f158072b143a2abc080c6a696c9a7d52105b4678a99ce39424,0.004912320524454117,0.0011055030627176166,0.0007399916648864746,0.004403623286634684,0.0010347110219299793,0.0006495118141174316,0.0023018792271614075,0.0004371418908704072,0.00011664628982543945,0.2397988885641098,0.0012379788095131516,0.002637759316712618,0.10534756630659103,0.001101368572562933,0.0010466036619618535,0.05976753681898117,0.0004823491908609867,0.0002000858075916767
R02,01,124,a2f9758507de0e99e6450df0563a85078141a564e9b1368e5fc167df56f16b06,0.006185627076774836,0.0013461080379784107,0.0011020302772521973,0.005282605066895485,0.0012744226260110736,0.0009893178939819336,0.0025458596646785736,0.0005377923953346908,0.00017470121383666992,0.06828882545232773,0.0011132968356832862,0.0008638000581413507,0.05955894663929939,0.0010842136107385159,0.000783315219450742,0.056486327201128006,0.0004907656111754477,0.00017924349231179804
R02,01,641,d456f74c76ee4d80175a18f9e38afa4449fb1bd1bce76f1d81831aca4f07f7ca,0.004808877594769001,0.0012746494030579925,0.000997781753540039,0.005212470889091492,0.0011966131860390306,0.0008871555328369141,0.002760760486125946,0.00047225962043739855,0.00014513731002807617,0.05784543976187706,0.0011012294562533498,0.0008175433613359928,0.046477098017930984,0.0010760972509160638,0.0007811720133759081,0.009128168225288391,0.0004852264537476003,0.00015586633526254445
R02,02,489,c669773675a78ce2ed13175ed137d4d6fcc5b0d6eb2555924aefea81c3196689,0.005198070779442787,0.0013316025724634528,0.0010779500007629395,0.004872817546129227,0.0012134931748732924,0.0008859634399414062,0.002657383680343628,0.0004483702650759369,0.00012540817260742188,0.027697034180164337,0.0011853170581161976,0.0009208669071085751,0.04385257512331009,0.001120142638683319,0.0008115185191854835,0.017805300652980804,0.00048273272113874555,0.00015393193461932242
R02,04,345,d8a4d130293253a711f4e05276bda8683210d52da8bcfb59069edda31a55da52,0.006056789308786392,0.0012644348898902535,0.0009559988975524902,0.004239873960614204,0.0011483635753393173,0.0008077621459960938,0.002034120261669159,0.0004280338471289724,0.00011467933654785156,0.04347376525402069,0.0011912198970094323,0.0010158279910683632,0.04333454370498657,0.0011566902976483107,0.00093101552920416,0.04350826144218445,0.0005224593915045261,0.0002552872465457767
R03,01,258,786bc05c22be952e5e1b93510c87a4f2c06fed6167e69728bc61e043251370f6,0.004043295979499817,0.0007857584278099239,0.000396728515625,0.004023481160402298,0.0007976217311806977,0.0004024505615234375,0.0016374662518501282,0.0003503449261188507,7.88569450378418e-05,0.021628811955451965,0.0011852699099108577,0.0009891714435070753,0.019709527492523193,0.001185207744129002,0.001008263905532658,0.00852002203464508,0.0004891540156677365,0.00015766771684866399
R03,02,111,adbac011eb8fb9763717956336ca29c46cb0d9a39f6884d1c5de636ae72a8538,0.004271416924893856,0.0008676173165440559,0.00046002864837646484,0.004074087832123041,0.0008844250696711242,0.000493466854095459,0.0014437832869589329,0.00037552075809799135,8.970499038696289e-05,0.016173958778381348,0.0012184911174699664,0.0009840239072218537,0.041499704122543335,0.0011991440551355481,0.0009656524634920061,0.01427634060382843,0.0005047058803029358,0.00018030036881100386
R03,02,691,454f8f03e6a533f224b2ff876976c6a85a021be11cc6b594b5c4633dec2539cf,0.004402870312333107,0.0010230522602796555,0.0006512999534606934,0.0041718026623129845,0.0010466892272233963,0.0006806254386901855,0.0020292922854423523,0.0004320110601838678,0.00011932849884033203,0.034203559160232544,0.0012513026595115662,0.0010309172794222832,0.030600756406784058,0.0012297499924898148,0.0010025100782513618,0.006503935903310776,0.0005162027664482594,0.000174134605913423
R03,04,531,8d76756d0caf6e6ba873c1fd0e63aa5b1697fb105d0186614fafc202c9167c34,0.005019577220082283,0.0010936545440927148,0.0007311105728149414,0.005785487592220306,0.0011423296527937055,0.0008033514022827148,0.0019445642828941345,0.0004245515156071633,0.00011146068572998047,0.04045307636260986,0.0013196790823712945,0.001216213102452457,0.020459629595279694,0.00130946165882051,0.0011757266474887729,0.01367756724357605,0.0005295892478898168,0.00018631583952810615
R04,01,178,ea293b8f5df36803d12ed4ca9f36606e5738eba957e9f940efa609a7c5f1751b,0.00471162423491478,0.0012158964527770877,0.0008887648582458496,0.004495590925216675,0.001156519283540547,0.0007942914962768555,0.0023830346763134003,0.0004942671512253582,0.00015169382095336914,0.19488993287086487,0.0014072490157559514,0.003290141001343727,0.15649829804897308,0.001210870803333819,0.0015566395595669746,0.056300073862075806,0.0005231183604337275,0.00024154818675015122
R04,02,144,11c5e96103cea1dad9a3c0fb8ce3ca12ef3d51420c9bd8ffcc54d387fff41145,0.007047295570373535,0.0015910826623439789,0.0015721321105957031,0.0056989435106515884,0.0014916510554030538,0.0013832449913024902,0.002623811364173889,0.0005563517916016281,0.00019508600234985352,0.06841742247343063,0.001225073472596705,0.0010095809120684862,0.06566659361124039,0.0011678511509671807,0.0009100674651563168,0.06891762465238571,0.0005174950929358602,0.00021522519818972796
