video,frame,cls_cosine_distance,cls_max_abs_difference,patch12_cosine_distance,patch12_max_abs_difference
01,0,0.14066755771636963,0.05620560422539711,0.11354731768369675,0.18220412731170654
01,6,0.1486138105392456,0.059443723410367966,0.12395507097244263,0.3421590328216553
01,13,0.16141211986541748,0.060691408812999725,0.12437495589256287,0.16874152421951294
01,19,0.1478360891342163,0.06393087655305862,0.120343878865242,0.1683904379606247
01,26,0.16058766841888428,0.07079655677080154,0.13008388876914978,0.2589843273162842
01,33,0.15592539310455322,0.06696031987667084,0.1238875687122345,0.24162384867668152
01,39,0.15851473808288574,0.06797294318675995,0.12232837080955505,0.29536113142967224
01,46,0.1564946174621582,0.06139213219285011,0.12498193979263306,0.15659798681735992
01,53,0.16134554147720337,0.07136373966932297,0.12519697844982147,0.35109907388687134
01,59,0.16224247217178345,0.07490013539791107,0.12150293588638306,0.1560918390750885
01,66,0.155318021774292,0.06613209843635559,0.12204287201166153,0.29508909583091736
01,73,0.16614574193954468,0.06332849711179733,0.12707579135894775,0.15904058516025543
01,79,0.15775299072265625,0.06967169791460037,0.12184158712625504,0.16349156200885773
01,86,0.1728956699371338,0.06927064806222916,0.1285107433795929,0.1692836582660675
01,93,0.16313862800598145,0.06323747336864471,0.12565504014492035,0.3761940598487854
01,99,0.16425871849060059,0.06820498406887054,0.12201773375272751,0.1694665253162384
01,106,0.185594379901886,0.07837250828742981,0.13565801084041595,0.1621142029762268
01,112,0.17537641525268555,0.07876887917518616,0.12921839952468872,0.16463060677051544
01,119,0.17151892185211182,0.06829272210597992,0.13609416782855988,0.3753845691680908
01,126,0.1631603240966797,0.0756843239068985,0.12876667082309723,0.17676040530204773
01,132,0.17402243614196777,0.07120893895626068,0.1315716654062271,0.36935827136039734
01,139,0.1485375165939331,0.06328423321247101,0.12593142688274384,0.3697528839111328
01,146,0.1686893105506897,0.06905253231525421,0.12599913775920868,0.2856164872646332
01,152,0.16488921642303467,0.06998619437217712,0.12983286380767822,0.3148341178894043
01,159,0.16509974002838135,0.07598597556352615,0.13158947229385376,0.17184694111347198
01,166,0.1703552007675171,0.07322655618190765,0.1334158033132553,0.3208978474140167
01,172,0.16079741716384888,0.07016275823116302,0.12395588308572769,0.13575264811515808
01,179,0.1678926944732666,0.06908540427684784,0.12762868404388428,0.17790305614471436
01,186,0.16215604543685913,0.0702723041176796,0.1292017549276352,0.2012702375650406
01,192,0.15324759483337402,0.0657477080821991,0.1250801980495453,0.17084985971450806
01,199,0.15451252460479736,0.06799100339412689,0.1322411447763443,0.22172926366329193
01,206,0.16946953535079956,0.06399276107549667,0.12708021700382233,0.16430923342704773
