repeat,scene,video,frame,preprocess_ms,model_ms,total_ms,gpu_ms
0,R01,01,0,0.7963459938764572,2.2534430027008057,3.049788996577263,2.2249279022216797
0,R01,01,166,0.5410569719970226,1.6521629877388477,2.1932199597358704,1.6348479986190796
0,R01,02,130,0.52836281247437,1.603251090273261,2.131613902747631,1.586527943611145
0,R01,04,89,0.5222109612077475,1.5991530381143093,2.1213639993220568,1.582368016242981
0,R02,01,124,0.5253269337117672,1.6020890325307846,2.127415966242552,1.5853760242462158
0,R02,01,641,0.5535900127142668,1.7094509676098824,2.263040980324149,1.6924159526824951
0,R02,02,489,0.568899093195796,1.5958978328853846,2.1647969260811806,1.5793919563293457
0,R02,04,345,0.5148868076503277,1.5921711456030607,2.1070579532533884,1.5752960443496704
0,R03,01,258,0.5885160062462091,1.5904270112514496,2.1789430174976587,1.5737279653549194
0,R03,02,111,0.5798889324069023,1.6018699388951063,2.1817588713020086,1.585312008857727
0,R03,02,691,0.5769729614257812,1.5895860269665718,2.166558988392353,1.5727039575576782
0,R03,04,531,0.5878650117665529,1.5908179339021444,2.1786829456686974,1.5743680000305176
0,R04,01,178,0.535215949639678,1.6463221982121468,2.1815381478518248,1.6299200057983398
0,R04,02,144,0.5350250285118818,1.7223157919943333,2.257340820506215,1.7061439752578735
0,R04,03,74,0.532309990376234,1.6078301705420017,2.140140160918236,1.5911680459976196
0,R04,03,460,0.538581982254982,1.5941951423883438,2.132777124643326,1.5778239965438843
1,R01,01,0,0.5219809245318174,1.5823019202798605,2.104282844811678,1.5655039548873901
1,R01,01,166,0.5208977963775396,1.5879631973803043,2.108860993757844,1.5712000131607056
1,R01,02,130,0.5226819775998592,1.5932128299027681,2.1158948075026274,1.576799988746643
1,R01,04,89,0.51485700532794,1.5918700955808163,2.1067271009087563,1.5754239559173584
1,R02,01,124,0.5232729017734528,1.595397014170885,2.118669915944338,1.578719973564148
1,R02,01,641,0.6081419996917248,1.6186409629881382,2.226782962679863,1.6014080047607422
1,R02,02,489,0.5180130247026682,1.582062104716897,2.100075129419565,1.5653760433197021
1,R02,04,345,0.5151079967617989,1.5872721560299397,2.1023801527917385,1.5707520246505737
1,R03,01,258,0.5951579660177231,1.590818166732788,2.185976132750511,1.5741759538650513
1,R03,02,111,0.5827147979289293,1.5864800661802292,2.1691948641091585,1.5696640014648438
1,R03,02,691,0.5813718307763338,1.5929921064525843,2.174363937228918,1.5763839483261108
1,R03,04,531,0.5900890100747347,1.5843261498957872,2.174415159970522,1.5676480531692505
1,R04,01,178,0.5504239816218615,1.5909590292721987,2.14138301089406,1.5740159749984741
1,R04,02,144,0.5404150579124689,1.6863078344613314,2.2267228923738003,1.669152021408081
1,R04,03,74,0.5809618160128593,1.6115570906549692,2.1925189066678286,1.594655990600586
1,R04,03,460,0.5389919970184565,1.595526933670044,2.1345189306885004,1.579103946685791
2,R01,01,0,0.5212689284235239,1.5832241624593735,2.1044930908828974,1.5667519569396973
2,R01,01,166,0.5236940924078226,1.594014000147581,2.1177080925554037,1.577247977256775
2,R01,02,130,0.5232631228864193,1.5951159875839949,2.118379110470414,1.578879952430725
2,R01,04,89,0.52122981287539,1.5941641759127378,2.115393988788128,1.5764479637145996
2,R02,01,124,0.7177579682320356,1.625735079869628,2.3434930481016636,1.6085439920425415
2,R02,01,641,0.5211890675127506,1.5847268514335155,2.105915918946266,1.5679359436035156
2,R02,02,489,0.5216598510742188,1.590128056704998,2.1117879077792168,1.5733439922332764
2,R02,04,345,0.5172921810299158,1.5874719247221947,2.1047641057521105,1.5713599920272827
2,R03,01,258,0.5932638887315989,1.593634020537138,2.186897909268737,1.5768320560455322
2,R03,02,111,0.5888659507036209,1.6029109247028828,2.1917768754065037,1.5862720012664795
2,R03,02,691,0.5857099313288927,1.5931730158627033,2.178882947191596,1.5760960578918457
2,R03,04,531,0.6152959540486336,1.7017470672726631,2.3170430213212967,1.6850240230560303
2,R04,01,178,0.588204013183713,1.6197729855775833,2.2079769987612963,1.603327989578247
2,R04,02,144,0.5310680717229843,1.5977409202605486,2.128808991983533,1.5812159776687622
2,R04,03,74,0.5312978755682707,1.5963090118020773,2.127606887370348,1.5799360275268555
2,R04,03,460,0.543620903044939,1.581300050020218,2.124920953065157,1.5648319721221924
