repeat,scene,video,frame,input_ms,model_wall_ms,gpu_interval_ms,total_ms
0,R01,01,0,0.6969759706407785,1.3575630728155375,1.316864013671875,2.054539043456316
0,R01,01,6,0.5209839437156916,1.0548520367592573,1.0335359573364258,1.5758359804749489
0,R01,01,13,0.4223280120640993,1.036717090755701,1.0160640478134155,1.4590451028198004
0,R01,01,19,0.4115770570933819,1.0412759147584438,1.021407961845398,1.4528529718518257
0,R01,01,26,0.41929096914827824,1.035085180774331,1.0148160457611084,1.4543761499226093
0,R01,01,33,0.41455309838056564,1.0362158063799143,1.0166720151901245,1.45076890476048
0,R01,01,39,0.42472220957279205,1.0363669134676456,1.0161279439926147,1.4610891230404377
0,R01,01,46,0.41202898137271404,1.033770851790905,1.013856053352356,1.445799833163619
0,R01,01,53,0.418179202824831,1.0327398777008057,1.01254403591156,1.4509190805256367
0,R01,01,59,0.41610607877373695,1.2338298838585615,0.894976019859314,1.6499359626322985
0,R01,01,66,0.4129498265683651,1.0371680837124586,0.9676799774169922,1.4501179102808237
0,R01,01,73,0.41497289203107357,1.044281991198659,1.0243840217590332,1.4592548832297325
0,R01,01,79,0.41043502278625965,1.0353249963372946,1.0153599977493286,1.4457600191235542
0,R01,01,86,0.4139819648116827,1.0379201266914606,1.0181440114974976,1.4519020915031433
0,R01,01,93,0.4187310114502907,1.0314269457012415,1.0116480588912964,1.4501579571515322
0,R01,01,99,0.41548418812453747,1.040033996105194,1.019968032836914,1.4555181842297316
0,R01,01,106,0.4205650184303522,1.0389310773462057,1.019711971282959,1.459496095776558
0,R01,01,112,0.41624600999057293,1.0392421390861273,1.0195519924163818,1.4554881490767002
0,R01,01,119,0.41976198554039,1.0366179049015045,1.0166079998016357,1.4563798904418945
0,R01,01,126,0.4155850037932396,1.0361559689044952,1.0160319805145264,1.4517409726977348
0,R01,01,132,0.425984151661396,1.0348339565098286,1.0141119956970215,1.4608181081712246
0,R01,01,139,0.41545508429408073,1.0390318930149078,0.9441279768943787,1.4544869773089886
0,R01,01,146,0.4196621011942625,1.0333110112696886,1.0129599571228027,1.452973112463951
0,R01,01,152,0.4145130515098572,1.033891923725605,1.013759970664978,1.4484049752354622
0,R01,01,159,0.4206341691315174,1.0365969501435757,1.0166079998016357,1.457231119275093
0,R01,01,166,0.4142520483583212,1.0331699158996344,1.0132800340652466,1.4474219642579556
0,R01,01,172,0.41988305747509,1.0348840150982141,1.014464020729065,1.4547670725733042
0,R01,01,179,0.41571492329239845,1.0424780193716288,1.0223040580749512,1.4581929426640272
0,R01,01,186,0.41892100125551224,1.03872106410563,1.0181440114974976,1.4576420653611422
0,R01,01,192,0.4156138747930527,1.0344539768993855,1.0144959688186646,1.4500678516924381
0,R01,01,199,0.4200930707156658,1.0367780923843384,1.0164159536361694,1.4568711631000042
0,R01,01,206,0.4154541529715061,1.0814019478857517,0.8908799886703491,1.4968561008572578
0,R01,02,0,0.42349984869360924,1.0409450624138117,0.9738559722900391,1.464444911107421
0,R01,02,6,0.414462061598897,1.0352849494665861,1.0151679515838623,1.449747011065483
0,R01,02,13,0.4198530223220587,1.0329301003366709,1.0124479532241821,1.4527831226587296
0,R01,02,20,0.41867000982165337,1.0374789126217365,1.0173439979553223,1.45614892244339
