scene,video,frame,bf16_cls_cosine,bf16_cls_max_abs,same_eager_cls_cosine,same_eager_cls_max_abs,bf16_patch12_cosine,bf16_patch12_max_abs,same_eager_patch12_cosine,same_eager_patch12_max_abs
R01,01,0,0.0001061558723449707,0.001534298062324524,0.0001061558723449707,0.001534298062324524,0.00010065219248645008,0.010189063847064972,0.00010065219248645008,0.010189063847064972
R01,01,6,0.0001042485237121582,0.0018879175186157227,0.0001042485237121582,0.0018879175186157227,0.00010137775097973645,0.008941948413848877,0.00010137775097973645,0.008941948413848877
R01,01,13,6.830692291259766e-05,0.001377895474433899,6.830692291259766e-05,0.001377895474433899,9.707113349577412e-05,0.010122865438461304,9.707113349577412e-05,0.010122865438461304
R01,01,19,7.50422477722168e-05,0.002445310354232788,7.50422477722168e-05,0.002445310354232788,9.091676474781707e-05,0.011117000132799149,9.091676474781707e-05,0.011117000132799149
R01,01,26,5.555152893066406e-05,0.0013990923762321472,5.555152893066406e-05,0.0013990923762321472,0.00011007083230651915,0.03462901711463928,0.00011007083230651915,0.03462901711463928
R01,01,33,6.455183029174805e-05,0.001378428190946579,6.455183029174805e-05,0.001378428190946579,8.660978346597403e-05,0.008971109986305237,8.660978346597403e-05,0.008971109986305237
R01,01,39,7.623434066772461e-05,0.001667506992816925,7.623434066772461e-05,0.001667506992816925,0.00012970136594958603,0.05476728081703186,0.00012970136594958603,0.05476728081703186
R01,01,46,6.330013275146484e-05,0.0013819783926010132,6.330013275146484e-05,0.0013819783926010132,0.00014841390657238662,0.05506952106952667,0.00014841390657238662,0.05506952106952667
R01,01,53,6.937980651855469e-05,0.0013950467109680176,6.937980651855469e-05,0.0013950467109680176,0.0001008930048556067,0.014259809628129005,0.0001008930048556067,0.014259809628129005
R01,01,59,5.4717063903808594e-05,0.0012897923588752747,5.4717063903808594e-05,0.0012897923588752747,9.26004140637815e-05,0.010885074734687805,9.26004140637815e-05,0.010885074734687805
R01,01,66,6.669759750366211e-05,0.001373380422592163,6.669759750366211e-05,0.001373380422592163,0.00010958644998027012,0.02565029263496399,0.00010958644998027012,0.02565029263496399
R01,01,73,7.027387619018555e-05,0.0013848841190338135,7.027387619018555e-05,0.0013848841190338135,0.00010435136209707707,0.011682748794555664,0.00010435136209707707,0.011682748794555664
R01,01,79,8.606910705566406e-05,0.0020915567874908447,8.606910705566406e-05,0.0020915567874908447,0.00010391057730885223,0.011607319116592407,0.00010391057730885223,0.011607319116592407
R01,01,86,6.437301635742188e-05,0.0015096580609679222,6.437301635742188e-05,0.0015096580609679222,0.0005202000611461699,0.11139683425426483,0.0005202000611461699,0.11139683425426483
R01,01,93,7.385015487670898e-05,0.0013949722051620483,7.385015487670898e-05,0.0013949722051620483,9.071624663192779e-05,0.007954128086566925,9.071624663192779e-05,0.007954128086566925
R01,01,99,8.726119995117188e-05,0.0018127663061022758,8.726119995117188e-05,0.0018127663061022758,9.184505324810743e-05,0.018680542707443237,9.184505324810743e-05,0.018680542707443237
R01,01,106,6.0439109802246094e-05,0.0017176270484924316,6.0439109802246094e-05,0.0017176270484924316,8.895790961105376e-05,0.00859883427619934,8.895790961105376e-05,0.00859883427619934
R01,01,112,6.99758529663086e-05,0.0017001591622829437,6.99758529663086e-05,0.0017001591622829437,0.00010011924314312637,0.023808062076568604,0.00010011924314312637,0.023808062076568604
R01,01,119,0.00010091066360473633,0.0017106831073760986,0.00010091066360473633,0.0017106831073760986,0.0001972836471395567,0.048047132790088654,0.0001972836471395567,0.048047132790088654
R01,01,126,6.949901580810547e-05,0.0014680824242532253,6.949901580810547e-05,0.0014680824242532253,9.868523920886219e-05,0.031154915690422058,9.868523920886219e-05,0.031154915690422058
R01,01,132,5.9485435485839844e-05,0.0017205700278282166,5.9485435485839844e-05,0.0017205700278282166,0.0001146022550528869,0.02037084847688675,0.0001146022550528869,0.02037084847688675
R01,01,139,6.54458999633789e-05,0.0015511785168200731,6.54458999633789e-05,0.0015511785168200731,9.477708954364061e-05,0.0060487836599349976,9.477708954364061e-05,0.0060487836599349976
R01,01,146,6.633996963500977e-05,0.0013599023222923279,6.633996963500977e-05,0.0013599023222923279,0.00012133831478422508,0.03920681029558182,0.00012133831478422508,0.03920681029558182
R01,01,152,7.796287536621094e-05,0.0017443299293518066,7.796287536621094e-05,0.0017443299293518066,0.00018942539463751018,0.04565269500017166,0.00018942539463751018,0.04565269500017166
R01,01,159,6.777048110961914e-05,0.0014105141162872314,6.777048110961914e-05,0.0014105141162872314,0.0001790992682799697,0.07325217127799988,0.0001790992682799697,0.07325217127799988
R01,01,166,8.094310760498047e-05,0.0017241351306438446,8.094310760498047e-05,0.0017241351306438446,0.00018340883252676576,0.055797576904296875,0.00018340883252676576,0.055797576904296875
R01,01,172,8.887052536010742e-05,0.0020803771913051605,8.887052536010742e-05,0.0020803771913051605,7.848478708183393e-05,0.010306425392627716,7.848478708183393e-05,0.010306425392627716
R01,01,179,7.009506225585938e-05,0.0013708807528018951,7.009506225585938e-05,0.0013708807528018951,9.697289351606742e-05,0.01040486991405487,9.697289351606742e-05,0.01040486991405487
R01,01,186,5.269050598144531e-05,0.0013666525483131409,5.269050598144531e-05,0.0013666525483131409,9.431717626284808e-05,0.011150408536195755,9.431717626284808e-05,0.011150408536195755
R01,01,192,7.18235969543457e-05,0.0020972490310668945,7.18235969543457e-05,0.0020972490310668945,0.00014871395251248032,0.041261956095695496,0.00014871395251248032,0.041261956095695496
R01,01,199,5.9545040130615234e-05,0.0014105364680290222,5.9545040130615234e-05,0.0014105364680290222,9.664856042945758e-05,0.009189188480377197,9.664856042945758e-05,0.009189188480377197
R01,01,206,6.29425048828125e-05,0.0013356730341911316,6.29425048828125e-05,0.0013356730341911316,9.797862730920315e-05,0.005902484059333801,9.797862730920315e-05,0.005902484059333801
R01,02,0,7.176399230957031e-05,0.0013830102980136871,7.176399230957031e-05,0.0013830102980136871,9.265118569601327e-05,0.008404701948165894,9.265118569601327e-05,0.008404701948165894
R01,02,6,7.355213165283203e-05,0.0018139015883207321,7.355213165283203e-05,0.0018139015883207321,0.00010851687693502754,0.03832636773586273,0.00010851687693502754,0.03832636773586273
R01,02,13,6.937980651855469e-05,0.0016885288059711456,6.937980651855469e-05,0.0016885288059711456,0.0001041800860548392,0.016245514154434204,0.0001041800860548392,0.016245514154434204
R01,02,20,6.0558319091796875e-05,0.0013909339904785156,6.0558319091796875e-05,0.0013909339904785156,8.612024976173416e-05,0.010229438543319702,8.612024976173416e-05,0.010229438543319702
R01,02,27,7.003545761108398e-05,0.0013781674206256866,7.003545761108398e-05,0.0013781674206256866,8.24965100036934e-05,0.007766783237457275,8.24965100036934e-05,0.007766783237457275
R01,02,34,6.496906280517578e-05,0.0017352327704429626,6.496906280517578e-05,0.0017352327704429626,9.395384404342622e-05,0.0075754523277282715,9.395384404342622e-05,0.0075754523277282715
R01,02,41,5.936622619628906e-05,0.001384645700454712,5.936622619628906e-05,0.001384645700454712,9.10433373064734e-05,0.015864387154579163,9.10433373064734e-05,0.015864387154579163
R01,02,48,6.61611557006836e-05,0.00170183926820755,6.61611557006836e-05,0.00170183926820755,0.00037744164001196623,0.09129641205072403,0.00037744164001196623,0.09129641205072403
R01,02,54,6.145238876342773e-05,0.0023903250694274902,6.145238876342773e-05,0.0023903250694274902,0.0001037004913087003,0.03567732870578766,0.0001037004913087003,0.03567732870578766
R01,02,61,4.4286251068115234e-05,0.0013525933027267456,4.4286251068115234e-05,0.0013525933027267456,8.862162212608382e-05,0.012635938823223114,8.862162212608382e-05,0.012635938823223114
R01,02,68,8.320808410644531e-05,0.002171414205804467,8.320808410644531e-05,0.002171414205804467,0.0001128825533669442,0.03074374794960022,0.0001128825533669442,0.03074374794960022
R01,02,75,6.03795051574707e-05,0.0013845041394233704,6.03795051574707e-05,0.0013845041394233704,8.708827226655558e-05,0.005636908113956451,8.708827226655558e-05,0.005636908113956451
R01,02,82,5.8531761169433594e-05,0.0013160519301891327,5.8531761169433594e-05,0.0013160519301891327,0.00011210879165446386,0.02778199315071106,0.00011210879165446386,0.02778199315071106
R01,02,89,6.824731826782227e-05,0.0013846606016159058,6.824731826782227e-05,0.0013846606016159058,9.384714212501422e-05,0.005632832646369934,9.384714212501422e-05,0.005632832646369934
