layer,M,N,K,kind,regime,repeat,us,calls_per_event
fc2,64,768,3072,packed_int4,eviction_attempt,8,22.52800017595291,1
fc2,64,768,3072,bf16,eviction_attempt,8,16.383999958634377,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,8,18.432000651955605,1
fc2,64,768,3072,native_int4,eviction_attempt,8,24.57600086927414,1
fc2,64,768,3072,dequant_only,eviction_attempt,8,8.191999979317188,1
fc2,64,768,3072,packed_int4,eviction_attempt,9,22.52800017595291,1
fc2,64,768,3072,dequant_only,eviction_attempt,9,8.191999979317188,1
fc2,64,768,3072,fused_int4,eviction_attempt,9,49.15200173854828,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,9,18.432000651955605,1
fc2,64,768,3072,bf16,eviction_attempt,9,16.383999958634377,1
fc2,64,768,3072,native_int4,eviction_attempt,9,24.57600086927414,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,10,18.432000651955605,1
fc2,64,768,3072,fused_int4,eviction_attempt,10,49.15200173854828,1
fc2,64,768,3072,packed_int4,eviction_attempt,10,22.52800017595291,1
fc2,64,768,3072,bf16,eviction_attempt,10,16.383999958634377,1
fc2,64,768,3072,dequant_only,eviction_attempt,10,6.144000217318535,1
fc2,64,768,3072,native_int4,eviction_attempt,10,24.57600086927414,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,11,18.432000651955605,1
fc2,64,768,3072,fused_int4,eviction_attempt,11,49.15200173854828,1
fc2,64,768,3072,packed_int4,eviction_attempt,11,22.52800017595291,1
fc2,64,768,3072,bf16,eviction_attempt,11,18.432000651955605,1
fc2,64,768,3072,dequant_only,eviction_attempt,11,8.191999979317188,1
fc2,64,768,3072,native_int4,eviction_attempt,11,24.57600086927414,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,12,18.432000651955605,1
fc2,64,768,3072,bf16,eviction_attempt,12,16.383999958634377,1
fc2,64,768,3072,packed_int4,eviction_attempt,12,22.52800017595291,1
fc2,64,768,3072,native_int4,eviction_attempt,12,22.52800017595291,1
fc2,64,768,3072,fused_int4,eviction_attempt,12,49.18399825692177,1
fc2,64,768,3072,dequant_only,eviction_attempt,12,8.191999979317188,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,13,20.479999482631683,1
fc2,64,768,3072,dequant_only,eviction_attempt,13,8.191999979317188,1
fc2,64,768,3072,bf16,eviction_attempt,13,16.383999958634377,1
fc2,64,768,3072,native_int4,eviction_attempt,13,22.112000733613968,1
fc2,64,768,3072,packed_int4,eviction_attempt,13,22.112000733613968,1
fc2,64,768,3072,fused_int4,eviction_attempt,13,51.19999870657921,1
fc2,64,768,3072,native_int4,eviction_attempt,14,24.57600086927414,1
fc2,64,768,3072,packed_int4,eviction_attempt,14,22.52800017595291,1
fc2,64,768,3072,dequant_only,eviction_attempt,14,8.191999979317188,1
fc2,64,768,3072,fused_int4,eviction_attempt,14,51.19999870657921,1
fc2,64,768,3072,bf16,eviction_attempt,14,18.432000651955605,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,14,18.432000651955605,1
fc2,64,768,3072,fused_int4,eviction_attempt,15,49.15200173854828,1
fc2,64,768,3072,bf16,eviction_attempt,15,16.383999958634377,1
fc2,64,768,3072,dequant_only,eviction_attempt,15,8.191999979317188,1
fc2,64,768,3072,native_int4,eviction_attempt,15,24.57600086927414,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,15,18.432000651955605,1
fc2,64,768,3072,packed_int4,eviction_attempt,15,22.52800017595291,1
fc2,64,768,3072,native_int4,eviction_attempt,16,24.57600086927414,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,16,18.432000651955605,1
fc2,64,768,3072,packed_int4,eviction_attempt,16,22.52800017595291,1
fc2,64,768,3072,dequant_only,eviction_attempt,16,8.1599997356534,1
fc2,64,768,3072,bf16,eviction_attempt,16,18.432000651955605,1
fc2,64,768,3072,fused_int4,eviction_attempt,16,49.15200173854828,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,17,18.432000651955605,1
fc2,64,768,3072,packed_int4,eviction_attempt,17,22.52800017595291,1
fc2,64,768,3072,fused_int4,eviction_attempt,17,49.15200173854828,1
fc2,64,768,3072,bf16,eviction_attempt,17,16.383999958634377,1
fc2,64,768,3072,native_int4,eviction_attempt,17,24.57600086927414,1
fc2,64,768,3072,dequant_only,eviction_attempt,17,8.191999979317188,1
fc2,64,768,3072,packed_int4,eviction_attempt,18,22.52800017595291,1
fc2,64,768,3072,fused_int4,eviction_attempt,18,49.15200173854828,1
fc2,64,768,3072,bf16,eviction_attempt,18,16.383999958634377,1
fc2,64,768,3072,dequant_only,eviction_attempt,18,8.191999979317188,1
fc2,64,768,3072,native_int4,eviction_attempt,18,24.57600086927414,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,18,18.432000651955605,1
fc2,64,768,3072,bf16,eviction_attempt,19,16.383999958634377,1
fc2,64,768,3072,dequant_only,eviction_attempt,19,8.191999979317188,1
fc2,64,768,3072,native_int4,eviction_attempt,19,22.52800017595291,1
fc2,64,768,3072,packed_int4,eviction_attempt,19,22.52800017595291,1
fc2,64,768,3072,fused_int4,eviction_attempt,19,51.19999870657921,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,19,18.432000651955605,1
fc2,64,768,3072,dequant_only,eviction_attempt,20,8.191999979317188,1
fc2,64,768,3072,packed_int4,eviction_attempt,20,22.52800017595291,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,20,18.432000651955605,1
fc2,64,768,3072,fused_int4,eviction_attempt,20,49.15200173854828,1
fc2,64,768,3072,bf16,eviction_attempt,20,18.432000651955605,1
fc2,64,768,3072,native_int4,eviction_attempt,20,24.57600086927414,1
