layer,M,N,K,kind,regime,repeat,us,calls_per_event
proj,1,768,768,native_int4,eviction_attempt,14,8.191999979317188,1
proj,1,768,768,packed_int4,eviction_attempt,14,12.28800043463707,1
proj,1,768,768,dequant_only,eviction_attempt,14,6.144000217318535,1
proj,1,768,768,fused_int4,eviction_attempt,14,18.432000651955605,1
proj,1,768,768,bf16,eviction_attempt,14,8.191999979317188,1
proj,1,768,768,predequant_gemm,eviction_attempt,14,10.239999741315842,1
proj,1,768,768,fused_int4,eviction_attempt,15,18.432000651955605,1
proj,1,768,768,bf16,eviction_attempt,15,8.191999979317188,1
proj,1,768,768,dequant_only,eviction_attempt,15,6.144000217318535,1
proj,1,768,768,native_int4,eviction_attempt,15,10.239999741315842,1
proj,1,768,768,predequant_gemm,eviction_attempt,15,10.239999741315842,1
proj,1,768,768,packed_int4,eviction_attempt,15,10.239999741315842,1
proj,1,768,768,native_int4,eviction_attempt,16,6.335999816656113,1
proj,1,768,768,predequant_gemm,eviction_attempt,16,9.824000298976898,1
proj,1,768,768,packed_int4,eviction_attempt,16,12.28800043463707,1
proj,1,768,768,dequant_only,eviction_attempt,16,6.144000217318535,1
proj,1,768,768,bf16,eviction_attempt,16,8.191999979317188,1
proj,1,768,768,fused_int4,eviction_attempt,16,18.432000651955605,1
proj,1,768,768,predequant_gemm,eviction_attempt,17,10.239999741315842,1
proj,1,768,768,packed_int4,eviction_attempt,17,12.28800043463707,1
proj,1,768,768,fused_int4,eviction_attempt,17,18.432000651955605,1
proj,1,768,768,bf16,eviction_attempt,17,8.191999979317188,1
proj,1,768,768,native_int4,eviction_attempt,17,10.239999741315842,1
proj,1,768,768,dequant_only,eviction_attempt,17,6.144000217318535,1
proj,1,768,768,packed_int4,eviction_attempt,18,12.28800043463707,1
proj,1,768,768,fused_int4,eviction_attempt,18,18.432000651955605,1
proj,1,768,768,bf16,eviction_attempt,18,8.191999979317188,1
proj,1,768,768,dequant_only,eviction_attempt,18,4.127999767661095,1
proj,1,768,768,native_int4,eviction_attempt,18,10.239999741315842,1
proj,1,768,768,predequant_gemm,eviction_attempt,18,10.239999741315842,1
proj,1,768,768,bf16,eviction_attempt,19,8.191999979317188,1
proj,1,768,768,dequant_only,eviction_attempt,19,6.144000217318535,1
proj,1,768,768,native_int4,eviction_attempt,19,8.191999979317188,1
proj,1,768,768,packed_int4,eviction_attempt,19,12.28800043463707,1
proj,1,768,768,fused_int4,eviction_attempt,19,18.432000651955605,1
proj,1,768,768,predequant_gemm,eviction_attempt,19,10.239999741315842,1
proj,1,768,768,dequant_only,eviction_attempt,20,6.144000217318535,1
proj,1,768,768,packed_int4,eviction_attempt,20,12.28800043463707,1
proj,1,768,768,predequant_gemm,eviction_attempt,20,8.191999979317188,1
proj,1,768,768,fused_int4,eviction_attempt,20,18.432000651955605,1
proj,1,768,768,bf16,eviction_attempt,20,8.191999979317188,1
proj,1,768,768,native_int4,eviction_attempt,20,8.191999979317188,1
