repeat,scene,video,frame,preprocess_ms,model_ms,total_ms,gpu_ms
0,R01,01,0,0.7731809746474028,1.3239448890089989,2.0971258636564016,1.2929600477218628
0,R01,01,166,0.5478679668158293,1.0417548473924398,1.5896228142082691,1.0242880582809448
0,R01,02,130,0.5177019629627466,1.024001045152545,1.5417030081152916,1.0071680545806885
0,R01,04,89,0.5181320011615753,1.0197639930993319,1.5378959942609072,1.0036159753799438
0,R02,01,124,0.5194349214434624,1.0187921579927206,1.538227079436183,1.0018559694290161
0,R02,01,641,0.516087980940938,1.0231200139969587,1.5392079949378967,1.0059839487075806
0,R02,02,489,0.5086848977953196,1.0285000316798687,1.5371849294751883,1.0124479532241821
0,R02,04,345,0.522310845553875,1.0221782140433788,1.5444890595972538,1.0056960582733154
0,R03,01,258,0.7285270839929581,1.0764698963612318,1.8049969803541899,1.0529279708862305
0,R03,02,111,0.6514729466289282,1.0263260919600725,1.6777990385890007,1.0094079971313477
0,R03,02,691,0.5955880042165518,1.0244820732623339,1.6200700774788857,1.007680058479309
0,R03,04,531,0.5847979336977005,1.01936305873096,1.6041609924286604,1.0027199983596802
0,R04,01,178,0.5280710756778717,1.0272369254380465,1.5553080011159182,1.0110080242156982
0,R04,02,144,0.5329609848558903,1.0186720173805952,1.5516330022364855,1.0024000406265259
0,R04,03,74,0.5347139667719603,1.0225889272987843,1.5573028940707445,1.0059839487075806
0,R04,03,460,0.5287919193506241,1.0195339564234018,1.548325875774026,1.003167986869812
1,R01,01,0,0.5131929647177458,1.0227500461041927,1.5359430108219385,1.0060160160064697
1,R01,01,166,0.5100970156490803,1.0212059132754803,1.5313029289245605,1.0047680139541626
1,R01,02,130,0.5185729824006557,1.0255251545459032,1.544098136946559,1.0053759813308716
1,R01,04,89,0.8162818849086761,1.034432090818882,1.8507139757275581,1.0165760517120361
1,R02,01,124,0.529192853718996,1.0342211462557316,1.5634139999747276,1.0170880556106567
1,R02,01,641,0.5145759787410498,1.025164034217596,1.5397400129586458,1.0086079835891724
1,R02,02,489,0.5163988098502159,1.0194431524723768,1.5358419623225927,1.0028480291366577
1,R02,04,345,0.5068110767751932,1.0204548016190529,1.527265878394246,1.004032015800476
1,R03,01,258,0.5865208804607391,1.020004041492939,1.6065249219536781,1.0034559965133667
1,R03,02,111,0.5762819200754166,1.0292509105056524,1.605532830581069,1.0133119821548462
1,R03,02,691,0.5781250074505806,1.0199039243161678,1.5980289317667484,1.0035840272903442
1,R03,04,531,0.5807399284094572,1.0176899377256632,1.5984298661351204,1.0014079809188843
1,R04,01,178,0.5188938230276108,1.0288911871612072,1.547785010188818,1.0100799798965454
1,R04,02,144,0.8711549453437328,1.0370661038905382,1.908221049234271,1.0191999673843384
1,R04,03,74,0.5391719751060009,1.0232410859316587,1.5624130610376596,1.0064959526062012
1,R04,03,460,0.5336010362952948,1.0273978114128113,1.560998847708106,1.0110080242156982
2,R01,01,0,0.5166199989616871,1.02771888487041,1.544338883832097,1.0107840299606323
2,R01,01,166,0.5197559949010611,1.0258848778903484,1.5456408727914095,1.0092799663543701
2,R01,02,130,0.5128218326717615,1.021206146106124,1.5340279787778854,1.0045440196990967
2,R01,04,89,0.516118947416544,1.022739103063941,1.538858050480485,1.006335973739624
2,R02,01,124,0.5154279060661793,1.0197130031883717,1.535140909254551,1.0031039714813232
2,R02,01,641,0.508985947817564,1.0187509469687939,1.5277368947863579,1.0024960041046143
2,R02,02,489,0.506390118971467,1.0272678919136524,1.5336580108851194,1.0111360549926758
2,R02,04,345,0.5130430217832327,1.0214569047093391,1.5344999264925718,1.0038399696350098
2,R03,01,258,0.6370150949805975,1.0260860435664654,1.6631011385470629,1.0093120336532593
2,R03,02,111,0.5814519245177507,1.021526986733079,1.6029789112508297,1.0053119659423828
2,R03,02,691,0.5963000003248453,1.021757023409009,1.6180570237338543,1.005247950553894
2,R03,04,531,0.586740905418992,1.0217169765383005,1.6084578819572926,1.005247950553894
2,R04,01,178,0.5230410024523735,1.0215069632977247,1.5445479657500982,1.0047999620437622
2,R04,02,144,0.5297840107232332,1.0226389858871698,1.552422996610403,1.006111979484558
2,R04,03,74,0.5236230790615082,1.0294720996171236,1.5530951786786318,1.0104960203170776
2,R04,03,460,0.6471739616245031,1.0676439851522446,1.7148179467767477,1.0457279682159424
