repeat,scene,video,frame,preprocess_ms,model_ms,total_ms,gpu_ms
0,R01,01,0,0.996854156255722,1.5072529204189777,2.5041070766747,1.4751360416412354
0,R01,01,166,0.6178210023790598,1.209162175655365,1.8269831780344248,1.1917439699172974
0,R01,02,130,0.5277320742607117,1.1129810009151697,1.6407130751758814,1.0963200330734253
0,R01,04,89,0.5154989194124937,1.1187521740794182,1.6342510934919119,1.1017919778823853
0,R02,01,124,0.5245460197329521,1.1095849331468344,1.6341309528797865,1.093183994293213
0,R02,01,641,0.5163098685443401,1.1123111471533775,1.6286210156977177,1.09552001953125
0,R02,02,489,0.5138961132615805,1.1243128683418036,1.638208981603384,1.1070400476455688
0,R02,04,345,0.516240019351244,1.1119600385427475,1.6282000578939915,1.0952320098876953
0,R03,01,258,0.5945181474089622,1.1119688861072063,1.7064870335161686,1.093727946281433
0,R03,02,111,0.5905900616198778,1.1114489752799273,1.702039036899805,1.094815969467163
0,R03,02,691,0.5813329480588436,1.1377681512385607,1.7191010992974043,1.1183359622955322
0,R03,04,531,0.6493199616670609,1.1358449701219797,1.7851649317890406,1.1188160181045532
0,R04,01,178,0.5381919909268618,1.1124401353299618,1.6506321262568235,1.0967999696731567
0,R04,02,144,0.5397240165621042,1.1101269628852606,1.6498509794473648,1.0938880443572998
0,R04,03,74,0.5315400194376707,1.1122399009764194,1.6437799204140902,1.0957119464874268
0,R04,03,460,0.5434420891106129,1.111780060455203,1.655222149565816,1.0951999425888062
1,R01,01,0,0.5192561075091362,1.1114389635622501,1.6306950710713863,1.0948480367660522
1,R01,01,166,0.5180840380489826,1.1088938917964697,1.6269779298454523,1.0926400423049927
1,R01,02,130,0.5220319144427776,1.1093651410192251,1.6313970554620028,1.0930559635162354
1,R01,04,89,0.5225320346653461,1.1116990353912115,1.6342310700565577,1.0922880172729492
1,R02,01,124,1.1129218619316816,1.1436899658292532,2.256611827760935,1.1256959438323975
1,R02,01,641,0.5251159891486168,1.1147260665893555,1.6398420557379723,1.0981119871139526
1,R02,02,489,0.5136148538440466,1.1098459362983704,1.623460790142417,1.0932799577713013
1,R02,04,345,0.5156290717422962,1.1113290674984455,1.6269581392407417,1.0948480367660522
1,R03,01,258,0.5943470168858767,1.11115793697536,1.7055049538612366,1.0945600271224976
1,R03,02,111,0.5827751010656357,1.118331914767623,1.7011070158332586,1.1017919778823853
1,R03,02,691,0.5798500496894121,1.1116089299321175,1.6914589796215296,1.094912052154541
1,R03,04,531,0.5859010852873325,1.1110289487987757,1.6969300340861082,1.09443199634552
1,R04,01,178,0.5367880221456289,1.1100969277322292,1.6468849498778582,1.0937919616699219
1,R04,02,144,0.5300771445035934,1.1159270070493221,1.6460041515529156,1.096351981163025
1,R04,03,74,0.6407240871340036,1.1347229592502117,1.7754470463842154,1.1174720525741577
1,R04,03,460,0.552348094061017,1.1130019556730986,1.6653500497341156,1.095903992652893
2,R01,01,0,0.5193660035729408,1.1196751147508621,1.639041118323803,1.1030080318450928
2,R01,01,166,0.5171829834580421,1.11115793697536,1.628340920433402,1.0947840213775635
2,R01,02,130,0.5228819791227579,1.108292955905199,1.631174935027957,1.092128038406372
2,R01,04,89,0.5157000850886106,1.1143339797854424,1.630034064874053,1.0973440408706665
2,R02,01,124,0.5309178959578276,1.1105271987617016,1.6414450947195292,1.0939199924468994
2,R02,01,641,0.5077340174466372,1.1080929543823004,1.6158269718289375,1.0917439460754395
2,R02,02,489,0.5158488638699055,1.1137241963297129,1.6295730601996183,1.0973119735717773
2,R02,04,345,0.6613528821617365,1.5459260903298855,2.207278972491622,1.5212160348892212
2,R03,01,258,0.641966937109828,1.1319068726152182,1.7738738097250462,1.1149760484695435
2,R03,02,111,0.5880559328943491,1.1097451206296682,1.6978010535240173,1.0932480096817017
2,R03,02,691,0.5850389134138823,1.109184930101037,1.6942238435149193,1.092479944229126
2,R03,04,531,0.5857809446752071,1.1124399024993181,1.6982208471745253,1.09552001953125
2,R04,01,178,0.5200270097702742,1.1172299273312092,1.6372569371014833,1.1008319854736328
2,R04,02,144,0.5223620682954788,1.1087639722973108,1.6311260405927896,1.0924479961395264
2,R04,03,74,0.528082950040698,1.1081029660999775,1.6361859161406755,1.0916800498962402
2,R04,03,460,0.5361880175769329,1.1151160579174757,1.6513040754944086,1.0984959602355957
