repeat,scene,video,frame,preprocess_ms,model_ms,total_ms,gpu_ms
0,R01,01,0,0.7934290915727615,3.2734829001128674,4.066911991685629,3.2434239387512207
0,R01,01,166,0.5462551489472389,3.2411820720881224,3.7874372210353613,3.224224090576172
0,R01,02,130,0.525185139849782,3.229820868000388,3.75500600785017,3.2132160663604736
0,R01,04,89,0.5228908266872168,3.2557391095906496,3.7786299362778664,3.2386879920959473
0,R02,01,124,0.5959081463515759,3.245549974963069,3.841458121314645,3.2298879623413086
0,R02,01,641,0.5027540028095245,3.2332169357687235,3.735970938578248,3.217535972595215
0,R02,02,489,0.5055079236626625,3.2457709312438965,3.751278854906559,3.23036789894104
0,R02,04,345,0.5213688127696514,3.243396058678627,3.7647648714482784,3.2275519371032715
0,R03,01,258,0.58587989769876,3.8097891956567764,4.3956690933555365,3.4350080490112305
0,R03,02,111,0.5782849621027708,3.2425150275230408,3.8207999896258116,3.2271358966827393
0,R03,02,691,0.5723738577216864,3.2388281542807817,3.811202012002468,3.223360061645508
0,R03,04,531,0.5765820387750864,3.237996017560363,3.814578056335449,3.222656011581421
0,R04,01,178,0.5225709173828363,3.663885174319148,4.186456091701984,3.647968053817749
0,R04,02,144,0.5791268777102232,3.24490899220109,3.824035869911313,3.2292799949645996
0,R04,03,74,0.5232919938862324,3.2359319739043713,3.7592239677906036,3.2207040786743164
0,R04,03,460,0.5361158400774002,3.2423140946775675,3.7784299347549677,3.2271358966827393
1,R01,01,0,0.5005199927836657,3.66619904525578,4.166719038039446,3.6473920345306396
1,R01,01,166,0.57775410823524,3.2438968773931265,3.8216509856283665,3.2265279293060303
1,R01,02,130,0.5112299695611,3.2420640345662832,3.7532940041273832,3.225248098373413
1,R01,04,89,0.5121720023453236,3.2434959430247545,3.755667945370078,3.226975917816162
1,R02,01,124,0.5112590733915567,3.2413029111921787,3.7525619845837355,3.225696086883545
1,R02,01,641,0.5818619392812252,3.2443979289382696,3.826259868219495,3.2288639545440674
1,R02,02,489,0.5142749287188053,3.241252154111862,3.7555270828306675,3.2258241176605225
1,R02,04,345,0.49976794980466366,3.2490070443600416,3.7487749941647053,3.2337279319763184
1,R03,01,258,0.5734760779887438,3.2361429184675217,3.8096189964562654,3.2205440998077393
1,R03,02,111,0.5729449912905693,3.6613899283111095,4.234334919601679,3.6451520919799805
1,R03,02,691,0.6217069458216429,3.256350988522172,3.878057934343815,3.2344000339508057
1,R03,04,531,0.5723140202462673,3.248936962336302,3.821250982582569,3.2334399223327637
1,R04,01,178,0.5150758661329746,3.247444052249193,3.762519918382168,3.2324159145355225
1,R04,02,144,0.5236829165369272,3.663063980638981,4.186746897175908,3.6469759941101074
1,R04,03,74,0.5712320562452078,3.2467120327055454,3.817944088950753,3.23142409324646
1,R04,03,460,0.5250847898423672,3.2423140946775675,3.7673988845199347,3.227008104324341
2,R01,01,0,0.5088150501251221,3.2411220017820597,3.7499370519071817,3.225696086883545
2,R01,01,166,0.5161589942872524,3.661961993202567,4.1781209874898195,3.644063949584961
2,R01,02,130,0.5685968790203333,3.233117051422596,3.8017139304429293,3.21724796295166
2,R01,04,89,0.5122520960867405,3.238637000322342,3.7508890964090824,3.222975969314575
2,R02,01,124,0.5122411530464888,3.2389177940785885,3.7511589471250772,3.2234559059143066
2,R02,01,641,0.4972829483449459,3.2430551946163177,3.7403381429612637,3.2268478870391846
2,R02,02,489,0.5774940364062786,3.2495069317519665,3.827000968158245,3.234015941619873
2,R02,04,345,0.5053279455751181,3.2311640679836273,3.7364920135587454,3.215872049331665
2,R03,01,258,0.580197898671031,3.2450901344418526,3.8252880331128836,3.22761607170105
2,R03,02,111,0.5791769362986088,3.2473141327500343,3.826491069048643,3.2297279834747314
2,R03,02,691,0.5701100453734398,3.655900014564395,4.226010059937835,3.6398398876190186
2,R03,04,531,0.6289908196777105,3.2530741300433874,3.882064949721098,3.2377281188964844
2,R04,01,178,0.5215189885348082,3.238566918298602,3.7600859068334103,3.2234559059143066
2,R04,02,144,0.5171110387891531,3.2463110983371735,3.7634221371263266,3.2311999797821045
2,R04,03,74,0.5170800723135471,3.6650169640779495,4.182097036391497,3.6482560634613037
2,R04,03,460,0.5807299166917801,3.2349200919270515,3.8156500086188316,3.2188799381256104
