scene,video,frame,input_bf16_sha256,fp32_cls_max_abs,fp32_cls_mean_abs,fp32_cls_cosine_mean,bf16_eager_cls_max_abs,bf16_eager_cls_mean_abs,bf16_eager_cls_cosine_mean,same_eager_cls_max_abs,same_eager_cls_mean_abs,same_eager_cls_cosine_mean,fp32_patch12_max_abs,fp32_patch12_mean_abs,fp32_patch12_cosine_mean,bf16_eager_patch12_max_abs,bf16_eager_patch12_mean_abs,bf16_eager_patch12_cosine_mean,same_eager_patch12_max_abs,same_eager_patch12_mean_abs,same_eager_patch12_cosine_mean
R01,01,0,f1e792111f1802b3ca869d55ad33c2b169dd4663baba4de8139325acfb92439e,0.05704756826162338,0.015341739170253277,0.1413535475730896,0.0566105879843235,0.015336691401898861,0.1406700611114502,0.0,0.0,5.960464477539063e-08,0.3236328959465027,0.013507376424968243,0.11468714475631714,0.2528301179409027,0.013479595072567463,0.11415095627307892,0.0,0.0,1.1405827393673462e-08
R01,01,6,7d0ff0efc65197d9928bf40f304552aa24675a8d105aef8bd5eb6a7f81ec5dc1,0.05881834030151367,0.01597864367067814,0.15023040771484375,0.059235017746686935,0.015960076823830605,0.1493459939956665,0.0,0.0,0.0,0.3241114318370819,0.01404331624507904,0.12468398362398148,0.34087952971458435,0.014024917036294937,0.12449038773775101,0.0,0.0,7.910492705320848e-09
R01,01,13,3c94e295229a408cb2987e83972ca881d37fdb8805654edef87c0f1ce36ba712,0.060151487588882446,0.016515133902430534,0.16113245487213135,0.06068773567676544,0.016515737399458885,0.16096431016921997,0.0,0.0,0.0,0.18713925778865814,0.014089653268456459,0.12472103536128998,0.16739872097969055,0.014063384383916855,0.12399164587259293,0.0,0.0,8.830317810293309e-09
R01,01,19,9dc04669c52a21ec101231073ffb97e436802664f4beeed9d6dcf98f2565cd18,0.06283696740865707,0.015772081911563873,0.14772504568099976,0.06374908238649368,0.015793967992067337,0.1480061411857605,0.0,0.0,0.0,0.16275383532047272,0.013845019042491913,0.1206209659576416,0.1632198840379715,0.01382807269692421,0.12036530673503876,0.0,0.0,1.1221862550314654e-08
R01,01,26,e96738dea924e16c6f359a0833ff06b8933938eb53035f87b14aef551f81a427,0.06915383785963058,0.016409218311309814,0.15965336561203003,0.07044345885515213,0.016421349719166756,0.16000127792358398,0.0,0.0,0.0,0.2611967921257019,0.014338057488203049,0.1301189512014389,0.26009026169776917,0.0143353920429945,0.1300743818283081,0.0,0.0,1.066996713205981e-08
R01,01,33,1b0cf3ffb129c6f680b78d09aebeaabd4ba443115b02316fc20c683c7f164cfc,0.0656391978263855,0.016228219494223595,0.1564558744430542,0.06678768247365952,0.016205228865146637,0.15614193677902222,0.0,0.0,0.0,0.20640277862548828,0.014005218632519245,0.12400403618812561,0.2520829439163208,0.014003893360495567,0.12412521988153458,0.0,0.0,1.1773757080391078e-08
R01,01,39,8f296e203d6b81e79bcd0538db1a8d7ecacac5a3ddac8c604440cbeb55a3a3bd,0.06726805865764618,0.016358764842152596,0.15972715616226196,0.06766267120838165,0.016323138028383255,0.15903770923614502,0.0,0.0,0.0,0.23402272164821625,0.01395316794514656,0.12237352132797241,0.29535698890686035,0.013927111402153969,0.12212566286325455,0.0,0.0,1.3981336088875196e-08
R01,01,46,cef7c7d33f2655b2213dd1b108cc0b13aafc93a2cb6348478b468afa5f92670c,0.06132695823907852,0.01629401370882988,0.15820693969726562,0.06132917478680611,0.0162285715341568,0.1568332314491272,0.0,0.0,0.0,0.14746302366256714,0.014156978577375412,0.12565137445926666,0.15498921275138855,0.014119752682745457,0.1249254047870636,0.0,0.0,1.655684656043377e-08
R01,01,53,97beebf05d3b5924059cf409d44ce009b01335bedfb44b9f4971c21a51d0733f,0.07014575600624084,0.016423461958765984,0.16113245487213135,0.07120975106954575,0.01638299785554409,0.16056889295578003,0.0,0.0,0.0,0.3502318859100342,0.014037113636732101,0.12578904628753662,0.352012574672699,0.014011237770318985,0.1252264827489853,0.0,0.0,1.4717196350488848e-08
R01,01,59,e9a8881b1cfc03e8231875140e3b5a4a2a892abac27443326a3f142b17560194,0.07363459467887878,0.016474245116114616,0.16198444366455078,0.07401074469089508,0.01645224541425705,0.16163766384124756,0.0,0.0,0.0,0.15711645781993866,0.013914779759943485,0.12154589593410492,0.156288281083107,0.013900850899517536,0.12126103043556213,0.0,0.0,1.6740811403792577e-08
R01,01,66,2236a42a5a9c114760c58c052447e8d422ef502183b2a0bb50e5b2acf044823c,0.06493276357650757,0.01608399488031864,0.15475857257843018,0.06611557304859161,0.016082311049103737,0.15499693155288696,0.0,0.0,0.0,0.30899137258529663,0.013896392658352852,0.12177114188671112,0.3070126175880432,0.013906333595514297,0.12197467684745789,0.0,0.0,1.066996713205981e-08
R01,01,73,6090953ade3e8646ddbd0d399b42c64c5affb8106f4a6b9a97e4b362070b6e8c,0.0620754212141037,0.016419559717178345,0.16395443677902222,0.06285680085420609,0.01646655611693859,0.1651759147644043,0.0,0.0,0.0,0.15770140290260315,0.01421066839247942,0.1269056648015976,0.15828707814216614,0.01420855987817049,0.12688235938549042,0.0,0.0,9.566177183728541e-09
