scene,video,frame,bf16_cls_cosine,bf16_cls_max_abs,same_eager_cls_cosine,same_eager_cls_max_abs,bf16_patch12_cosine,bf16_patch12_max_abs,same_eager_patch12_cosine,same_eager_patch12_max_abs
R01,01,0,0.003908336162567139,0.01091533899307251,0.0,0.0,0.005542444530874491,0.1035051941871643,2.81466370211092e-08,0.0
R01,01,6,0.003789186477661133,0.01125600840896368,0.0,0.0,0.007398664951324463,0.193128302693367,2.1155969420760812e-08,0.0
R01,01,13,0.003973066806793213,0.011432010680437088,0.0,0.0,0.0058576506562530994,0.08324958384037018,2.0972004577402004e-08,0.0
R01,01,19,0.0044634342193603516,0.010780207812786102,0.0,0.0,0.005426367744803429,0.09081712365150452,2.3731479004140965e-08,0.0
R01,01,26,0.004961133003234863,0.011590635403990746,5.960464477539063e-08,0.0,0.0061258114874362946,0.08996232599020004,2.4467338377576198e-08,0.0
R01,01,33,0.00401914119720459,0.010700177401304245,0.0,0.0,0.009586835280060768,0.3293863832950592,2.6674918274238735e-08,0.0
R01,01,39,0.005610406398773193,0.011827483773231506,0.0,0.0,0.0061428905464708805,0.1519898772239685,2.3915443847499773e-08,0.0
R01,01,46,0.004374027252197266,0.009618333540856838,0.0,0.0,0.0062071532011032104,0.16955776512622833,2.3547514160782157e-08,0.0
R01,01,53,0.003823995590209961,0.010564920492470264,0.0,0.0,0.0056337653659284115,0.08950679004192352,2.0604074890684387e-08,0.0
R01,01,59,0.0038672685623168945,0.011206354945898056,5.960464477539063e-08,0.0,0.006296984385699034,0.08731315284967422,2.4467338377576198e-08,0.0
R01,01,66,0.004474639892578125,0.011077302508056164,0.0,0.0,0.006351797841489315,0.15296539664268494,2.317958447406454e-08,0.0
R01,01,73,0.00508803129196167,0.012708265334367752,0.0,0.0,0.008504683151841164,0.25248706340789795,2.5939058900803502e-08,0.0
R01,01,79,0.004334568977355957,0.01143953949213028,5.960464477539063e-08,0.0,0.008696964010596275,0.35398346185684204,2.0604074890684387e-08,0.0
R01,01,86,0.004015088081359863,0.009863123297691345,0.0,0.0,0.007231955882161856,0.08242461830377579,2.7594742491032775e-08,0.0
R01,01,93,0.004913449287414551,0.011270452290773392,0.0,0.0,0.006613294128328562,0.3092498779296875,2.2995619630705733e-08,0.0
