video,start,end,cold_start,detected,delay_frames,alarm_preexisting_at_onset
01,43,183,False,True,5,False
02,46,172,False,True,2,False
03,65,259,False,True,25,False
04,54,143,False,True,5,False
05,94,185,False,True,41,False
06,10,229,True,True,35,False
07,5,199,True,True,114,False
08,30,223,True,True,8,False
