scene,seed,method,precision,auroc,auprc,appearance_auroc,active_fpr_pct,recall_pct,false_alarms_per1000,frames
R01,0,frozen,bf16_batch1,88.858888472262,79.91955002696768,87.90236069981509,58.443540183112916,100.0,8.138351983723297,2905
R01,0,consistency,bf16_batch1,75.47347841790693,59.95271614880626,80.5448692398462,1.4750762970498474,100.0,4.069175991861648,2905
R01,0,anchored,bf16_batch1,88.57195720487314,78.6802419886209,87.87664957184205,58.59613428280773,100.0,7.121057985757884,2905
R02,0,frozen,bf16_batch1,93.86635101406641,88.2741663401861,87.10411253323564,0.12575979878432195,18.181818181818183,0.6287989939216098,7082
R02,0,consistency,bf16_batch1,59.83874315039902,41.32162651880586,61.58677717661399,0.1886396981764829,9.090909090909092,1.2575979878432195,7082
R02,0,anchored,bf16_batch1,93.86035018060757,88.21792763964584,86.9997111715633,0.12575979878432195,27.27272727272727,0.6287989939216098,7082
R03,0,frozen,bf16_batch1,62.781893694083266,50.467947201438925,63.49146564209054,3.5791422400493675,38.46153846153847,2.931194075902499,11121
R03,0,consistency,bf16_batch1,52.37114731109212,41.443663907228625,54.94034316059961,1.7432891082999076,7.6923076923076925,2.6226473310706573,11121
R03,0,anchored,bf16_batch1,62.4235701658198,50.106843065646544,63.17613116022465,3.424868867633447,38.46153846153847,3.239740820734341,11121
R04,0,frozen,bf16_batch1,78.71529192595008,83.60056474096433,76.28159564711603,4.087942287873584,76.92307692307693,3.7787701820680177,7166
R04,0,consistency,bf16_batch1,70.29007736955812,77.88225551461933,70.29007736955812,0.8931638612160768,19.230769230769234,1.3740982480247337,7166
R04,0,anchored,bf16_batch1,78.6661619487855,83.67790787546225,76.22830072158244,3.400893163861216,73.07692307692307,3.7787701820680177,7166
R01,1,frozen,bf16_batch1,88.62854629036401,80.2741645202376,87.42032010723386,58.85045778229908,100.0,7.62970498474059,2905
R01,1,consistency,bf16_batch1,86.64027646966777,73.93338196365839,86.64027646966777,5.95116988809766,100.0,21.363173957273652,2905
R01,1,anchored,bf16_batch1,88.2462993198484,79.01096922990148,87.31117698408715,58.54526958290946,100.0,7.121057985757884,2905
R02,1,frozen,bf16_batch1,94.46192278442876,89.8389923563561,87.19379214216701,0.10479983232026828,36.36363636363637,0.4191993292810732,7082
R02,1,consistency,bf16_batch1,56.89162871468017,38.87567967396979,59.815904941892214,0.3353594634248585,0.0,1.467197652483756,7082
R02,1,anchored,bf16_batch1,94.23213028448944,89.27521270624675,87.19507115192611,0.10479983232026828,27.27272727272727,0.4191993292810732,7082
R03,1,frozen,bf16_batch1,62.46872930852805,50.13001847391545,64.00337385567056,3.2243134834927494,46.15384615384615,2.7769207034865784,11121
R03,1,consistency,bf16_batch1,55.33447658102747,43.65718649436161,55.30559316064916,1.5735883986423942,15.384615384615385,2.6226473310706573,11121
R03,1,anchored,bf16_batch1,62.19106928407366,50.331496587893376,63.95405949049837,2.9466214131440913,46.15384615384615,2.7769207034865784,11121
R04,1,frozen,bf16_batch1,78.54278099552523,83.57234727851635,76.14145231544458,3.4352456200618344,69.23076923076923,4.1222947440742015,7166
R04,1,consistency,bf16_batch1,68.51678597294631,77.06325606618223,68.51678597294631,0.034352456200618345,11.538461538461538,0.3435245620061834,7166
R04,1,anchored,bf16_batch1,78.6856284660885,83.6236855527639,76.11038139027208,3.366540707660598,69.23076923076923,4.1222947440742015,7166
R01,2,frozen,bf16_batch1,89.68248110170583,81.9683018969475,87.51201902967925,57.88402848423194,100.0,7.121057985757884,2905
R01,2,consistency,bf16_batch1,83.43969621010592,67.42935253511024,83.43969621010592,1.627670396744659,80.0,6.103763987792472,2905
R01,2,anchored,bf16_batch1,89.45415644372535,81.46328709540597,87.65272902094978,58.13835198372329,100.0,7.121057985757884,2905
R02,2,frozen,bf16_batch1,94.11425989881282,88.91616248000787,87.50453895158519,0.16767973171242925,27.27272727272727,0.8383986585621463,7082
R02,2,consistency,bf16_batch1,68.59589958231571,47.0637095958059,74.13964911856516,0.06287989939216097,9.090909090909092,0.4191993292810732,7082
R02,2,anchored,bf16_batch1,94.38127508687849,89.60060879189984,87.52867369053273,0.20959966464053656,36.36363636363637,0.8383986585621463,7082
R03,2,frozen,bf16_batch1,61.94760066290661,50.28174452904652,62.682171657987276,4.1962357297130515,46.15384615384615,3.5482875655661834,11121
R03,2,consistency,bf16_batch1,58.86994662355806,45.88064539795892,57.91177313251652,2.3912372724467756,38.46153846153847,3.856834310398025,11121
R03,2,anchored,bf16_batch1,62.08712761626251,50.31689035488163,62.43188886834399,3.949398333847578,46.15384615384615,2.931194075902499,11121
R04,2,frozen,bf16_batch1,78.928959932376,83.77187687315035,76.15126353864683,3.503950532463071,61.53846153846154,3.4352456200618344,7166
R04,2,consistency,bf16_batch1,70.64889485249313,78.1883476319937,70.64889485249313,0.0,7.6923076923076925,0.0,7166
R04,2,anchored,bf16_batch1,78.89541465856657,83.8034661143368,76.09077535745719,3.023016145654414,61.53846153846154,3.091721058055651,7166
